id,gender,age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27,FW,SD,FD,UN,FAC1_1,FAC2_1,FAC3_1,FAC4_1
531,1,26,3,2,3,2,2,1,2,2,1,1,3,2,2,3,3,3,1,2,2,3,2,3,2,3,3,2,4,2.142857143,2.142857143,1.8,2.875,-0.282024341,-1.850451924,0.215110793,-0.779879575
534,1,24,3,3,3,3,1,1,3,3,4,1,4,4,4,4,3,2,2,1,2,3,3,3,3,1,1,4,2,3.142857143,2,2.8,2.625,1.211813084,-0.203398453,0.727125885,-1.188633881
535,1,24,4,3,4,2,2,2,5,3,2,3,3,3,4,4,3,2,1,4,3,4,3,4,3,4,4,2,5,2.571428571,3.428571429,2.6,3.875,0.564191579,-0.958701553,-1.263573654,1.30446911
536,1,25,1,3,1,5,1,3,5,5,1,3,1,3,1,3,5,5,1,3,2,3,5,1,5,1,1,3,5,4.428571429,2.428571429,1,2.875,-1.316925998,2.234489788,1.083535368,-0.902907918
537,1,24,3,4,4,1,1,1,4,3,1,2,4,2,3,3,3,2,3,2,4,4,1,2,2,3,3,2,4,1.857142857,2.428571429,2.2,3.75,0.219033914,-2.359030305,-1.143619117,-0.178964961
539,1,21,2,3,4,2,2,4,4,5,2,1,3,3,4,5,2,5,3,4,3,5,4,4,3,4,3,2,5,3.428571429,3.571428571,2.6,3.625,0.311784486,0.586977025,-0.961121676,1.280516446
540,1,21,1,3,1,5,3,1,5,5,1,3,3,1,3,3,3,1,1,1,3,2,4,4,1,4,3,3,5,2.857142857,2.714285714,1.8,3.125,-0.65350902,-0.733153751,0.174726855,0.313491111
545,1,23,2,1,3,1,1,2,2,4,1,1,2,3,2,1,4,4,1,2,5,3,3,3,2,2,2,2,4,2.714285714,1.714285714,1.4,3.125,-0.672517356,-0.721942786,-0.09495821,-1.931049749
546,1,21,4,4,2,2,3,3,4,4,3,2,4,4,4,3,3,3,3,4,3,4,2,3,3,4,2,4,4,3.142857143,3.285714286,3.4,3.25,1.864043779,-0.065001544,-0.241541788,0.606553168
547,1,19,3,2,3,3,1,2,4,3,1,2,4,4,2,3,4,3,1,2,4,3,3,3,2,1,3,3,4,3,2.142857143,1.6,3.625,-0.44179976,-0.329063435,-0.825414328,-1.240069177
548,1,28,4,3,4,2,4,2,5,4,3,2,4,2,3,3,3,3,4,3,4,4,2,4,3,4,3,3,5,2.714285714,3,3.6,4,1.819520757,-0.847603187,-1.380998608,0.558741059
550,1,21,3,3,2,1,1,2,4,4,1,2,2,2,1,4,3,3,1,1,4,3,2,3,3,3,4,2,4,2.428571429,2.571428571,1.4,3.25,-0.883066076,-1.276872992,-0.364574689,0.090861223
554,1,21,4,2,3,3,1,4,3,4,4,1,4,4,3,4,4,4,3,3,2,3,4,2,3,3,2,4,3,3.714285714,2.714285714,3,3,1.397485566,1.044263337,0.184507488,-0.754177404
556,1,24,4,3,4,3,4,2,5,3,4,1,4,4,4,3,4,3,3,2,3,4,2,3,3,4,2,4,3,3.142857143,2.571428571,3.8,3.625,2.463495053,-0.207591718,-0.713057802,-0.365455234
557,1,23,2,3,2,3,4,1,3,4,3,1,2,4,4,4,4,2,3,3,3,2,2,3,3,4,2,5,3,3.285714286,2.714285714,3.2,2.625,1.629273867,0.231256623,0.652699272,-0.320035032
558,1,20,4,1,3,3,1,2,4,3,2,4,2,4,2,3,3,4,2,3,4,1,4,4,3,3,2,5,4,3.714285714,2.857142857,2.2,2.875,0.196195386,0.867002278,0.432250119,-0.116468757
559,1,26,3,1,1,2,2,1,1,4,2,3,2,2,2,3,2,1,2,5,2,4,1,2,2,3,2,2,2,2,2.571428571,2.2,2,0.670383567,-1.807259212,1.678741998,-0.327972383
560,1,28,3,2,4,2,2,3,5,5,3,2,4,3,3,4,4,5,3,3,4,3,4,2,4,3,3,3,5,3.714285714,2.714285714,2.8,4,0.869036849,1.046158915,-1.351653466,-0.419963532
561,1,23,3,2,3,3,2,2,4,2,2,1,3,4,2,3,3,2,3,3,3,3,3,2,2,3,2,3,4,2.714285714,2.285714286,2.4,3.125,0.405664263,-0.719729832,-0.037384551,-1.275342419
562,1,32,3,4,4,2,2,1,5,5,1,4,3,2,3,4,2,4,2,4,2,4,4,4,2,4,2,2,4,3,3.571428571,2.2,3.25,0.029965158,-0.455366053,-0.055025573,2.002453924
564,1,26,3,2,3,4,2,1,5,5,2,2,3,4,4,4,3,3,2,3,3,4,4,4,4,5,3,4,4,4,3,2.6,3.5,0.531369185,1.149686362,-0.721054293,0.656538513
