"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"UP19" "0.20504716873387" "0.173370827596459" "0.658789086515436" "0.214937695024065" "0.118586313776955" "0.123132982181184" "0.136875736958809" "0.150024358494816" "0.185291403792615" "0.126108072287996" "0.0853765441337241" "0.105359933997176" "0.0149903190879534" "0.171267702990442" "0.0819163002463891" "0.0874187393493981" "0.23198365357697" "0.231418205443504" "0.390398713295342" "0.315668697691176" "1" "0.234350183892937" "0.350215969821491" "0.278364125927879" "0.14951438312679" "0.10219224024465" "0.17178769043888" "0.172492769132549" "0.183106572690299" "0.0306148003436576" "0.0495087244016807" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP20" "0.238834709234767" "0.21366230616677" "0.441696142021307" "0.0148372061521193" "0.174196502683049" "0.116444778193015" "0.188731645536731" "0.114760764124992" "0.222915866514469" "0.19314027450554" "-0.0128382851969458" "0.189758707134797" "0.0590980790267243" "0.122418759182563" "0.110031141800234" "0.162651477739282" "0.24395520201478" "0.0899976486638814" "0.183216994628708" "0.112660449399652" "0.234350183892937" "1" "0.151989727256695" "0.0915641885093065" "-0.0577778993505905" "0.0252386596927371" "-0.0409034521508065" "0.0665029916618318" "-0.000919001841853787" "0.0320143781036861" "0.0415670526901568" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP25" "0.196428930250637" "0.156227747071873" "0.502853596527833" "0.0263079713926596" "0.138531563935189" "0.167142197040259" "0.130758267327707" "0.19033584216896" "0.0671731839059988" "0.104154952118464" "0.134452929182523" "0.13432707181672" "0.0273562396039884" "-0.0113484989270772" "0.104458978310926" "0.0988744270170123" "0.263797065332847" "0.109052428957124" "0.214216076179442" "0.155061536151905" "0.350215969821491" "0.151989727256695" "1" "0.1616744396033" "0.0909864048722218" "0.02161020528364" "0.0223919468978121" "0.0208278276550554" "0.141450250411355" "-0.203160537882992" "-0.0240264268535094" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0"
"UP27" "0.10768949868159" "0.0440941713702331" "0.61088344227449" "0.171808717737775" "0.0481318978975128" "0.0972446670984302" "0.0610201825582968" "0.117237782304832" "0.0615097476003637" "0.0321502084976832" "-0.0781457675273025" "0.00502916811558782" "0.0075199348670753" "0.106536224824298" "0.058315380273136" "0.0495974530534586" "0.0865691362270132" "0.381810884305498" "0.257328019359837" "0.504171030493553" "0.278364125927879" "0.0915641885093065" "0.1616744396033" "1" "0.128073818798685" "0.101463276442702" "0.0769502421115425" "0.131782174863376" "0.135463496195796" "0.0355444833764993" "0.0866145530703152" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0"
"FW4" "-0.0158448926018516" "0.134230818442743" "0.151378305717224" "0.568944210466961" "-0.0143044340171003" "-0.0296881538154685" "-0.00757385926551629" "-0.00816944927522578" "0.00285182756807369" "-0.009401033516047" "0.197227429072121" "0.0180908578087179" "0.0556620022562837" "0.107033086362891" "0.107828115280077" "0.0436948620826296" "0.0157865090700917" "0.140882271238614" "0.0886576682869007" "0.124223563349505" "0.14951438312679" "-0.0577778993505905" "0.0909864048722218" "0.128073818798685" "1" "0.204751030938453" "0.289413127227232" "0.183506048717666" "0.37495500913565" "0.114822331036012" "0.141508701701131" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0"
"FW8" "0.0307220817077842" "0.115454713703836" "0.132876890045949" "0.645548787841266" "0.0352991496418797" "-0.0603270780631307" "0.0692415569457616" "-0.00297253164303602" "0.0500714255790599" "0.003289291170547" "0.0621839528719828" "0.00847628331487284" "0.0915543577033343" "0.147370859335669" "0.106475720770197" "0.0339024226547093" "0.0195741564728563" "0.156728657811338" "0.0636276229400274" "0.105034263856694" "0.10219224024465" "0.0252386596927371" "0.02161020528364" "0.101463276442702" "0.204751030938453" "1" "0.262861409475984" "0.489706773917519" "0.208431344836271" "0.29737307825705" "0.134071810563521" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0"
"FW12" "-0.0873380674871774" "0.0955393354049361" "0.101605630496284" "0.636842620337777" "-0.0274946064833748" "-0.185468712219777" "-0.0261362386795754" "-0.147397934167885" "0.0530430932920846" "-0.00150307666902566" "0.171670231948362" "-0.117050018934057" "0.0477974768965662" "0.145486283951902" "0.10336993968642" "0.0255331627750196" "-0.0344806189898846" "0.110235913081205" "0.0677972368473617" "0.0807914775376032" "0.17178769043888" "-0.0409034521508065" "0.0223919468978121" "0.0769502421115425" "0.289413127227232" "0.262861409475984" "1" "0.256077008108807" "0.322670408257092" "0.184506293341321" "0.252005521945995" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0"
"FW16" "0.00784678196538023" "0.148044011071857" "0.192853927001182" "0.657596217700147" "0.0283221860307196" "-0.0597465129638487" "0.0348244230488032" "-0.0242406554786628" "0.0338599004290652" "0.0539018371807107" "0.0432981282444193" "0.0164795393647732" "0.0620236193413832" "0.201226635422652" "0.138172760345764" "0.0675846095510296" "-0.0042407546721078" "0.164069844432723" "0.124008164609358" "0.192645021421983" "0.172492769132549" "0.0665029916618318" "0.0208278276550554" "0.131782174863376" "0.183506048717666" "0.489706773917519" "0.256077008108807" "1" "0.208383012535045" "0.35549710196242" "0.143822387969984" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0"
"FW21" "0.00172158065742872" "0.158441043346633" "0.17997794995056" "0.596546739366878" "0.0243541928505962" "-0.0758968363217439" "0.0150161184714854" "-0.00499975260422833" "0.0353145647946173" "0.0110422934534946" "0.130836907644388" "0.00082627580282158" "0.0659146461288793" "0.111860691239914" "0.181625157497" "0.116495330934921" "0.0225917116724538" "0.127051036617087" "0.0892488986079618" "0.12592864738749" "0.183106572690299" "-0.000919001841853787" "0.141450250411355" "0.135463496195796" "0.37495500913565" "0.208431344836271" "0.322670408257092" "0.208383012535045" "1" "0.182508507161929" "0.138224114748274" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0"
"FW23" "-0.000279369938032603" "0.148046815142098" "0.0137933893439028" "0.530108381266846" "0.0335539030871413" "-0.0741795984526221" "0.0232240834689271" "-0.0525711415494224" "0.0501988630401423" "0.0429493731775484" "-0.033119099876599" "-0.00578195889350671" "0.0824485889426814" "0.206571927709302" "0.175852386488667" "0.120058437160096" "-0.0762878809174364" "0.0806255677714534" "0.0396879015194776" "0.0948663650055657" "0.0306148003436576" "0.0320143781036861" "-0.203160537882992" "0.0355444833764993" "0.114822331036012" "0.29737307825705" "0.184506293341321" "0.35549710196242" "0.182508507161929" "1" "0.144923605954936" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0"
"FW26" "0.00208284807211697" "0.116172042978785" "0.064648184796343" "0.456628782734944" "-0.00961260272943703" "-0.0461784065983054" "0.0204296835180496" "-0.0488350801976924" "0.0794761375767406" "0.0135894015277688" "0.0867806603740131" "-0.0409399405646028" "0.102020084195919" "0.110976899561303" "0.107831851400514" "0.073672580588151" "-0.0179232119083415" "0.0828649694028782" "0.0162486532466719" "0.0552693906725944" "0.0495087244016807" "0.0415670526901568" "-0.0240264268535094" "0.0866145530703152" "0.141508701701131" "0.134071810563521" "0.252005521945995" "0.143822387969984" "0.138224114748274" "0.144923605954936" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1"
