"NO","gender","age","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","Check","FD","SD","UP","FW"
"ENG3.2",1,53,2,5,5,5,5,2,5,5,2,2,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,4,5,2,3.6,4,4.875,4.85714285714286
"ENG3.2",2,19,2,3,3,4,3,2,5,4,3,2,4,4,4,2,5,4,2,2,5,4,4,2,4,3,2,4,5,2,2.8,2.28571428571429,4.125,4
"ENG3.2",2,18,3,4,3,4,3,2,4,3,4,4,4,4,3,3,3,4,4,4,3,5,4,3,3,3,3,4,2,2,3.4,3.28571428571429,3.375,3.71428571428571
"ENG3.2",2,12,1,5,5,5,1,5,5,5,1,1,1,5,4,2,5,5,1,5,1,1,5,1,5,2,1,5,5,2,1.6,3,3,5
"ENG3.2",2,36,1,1,2,5,1,1,3,5,1,1,2,4,1,1,4,5,3,5,2,2,5,2,5,2,1,2,5,2,1.4,1.85714285714286,2.625,4.42857142857143
"ENG3.2",1,12,4,4,4,4,4,3,3,4,5,3,4,4,4,5,3,4,5,4,5,5,5,4,4,4,3,4,3,2,4.4,3.85714285714286,3.75,4.14285714285714
"ENG3.2",1,23,2,4,4,4,2,3,4,4,2,2,2,4,2,3,2,4,2,4,2,2,3,2,4,3,2,4,2,2,2,3,2.5,3.85714285714286
"ENG3.2",2,18,3,2,4,4,2,2,3,4,2,2,2,4,2,4,3,3,4,3,4,4,3,4,4,4,2,4,3,2,2.6,3,3.125,3.71428571428571
"ENG3.2",1,11,2,2,4,4,2,3,4,4,1,3,4,4,2,4,4,4,3,3,4,3,2,4,4,4,4,4,4,2,2,3.28571428571429,3.875,3.71428571428571
"ENG3.2",1,21,1,1,3,5,1,5,3,5,1,1,4,5,3,1,5,5,3,1,3,1,3,1,5,1,1,5,5,2,1.8,1.57142857142857,3.125,4.71428571428571
"ENG3.2",2,22,1,4,4,4,2,3,5,5,2,4,5,4,4,4,4,4,4,3,4,3,4,4,4,4,3,2,5,2,2.6,3.71428571428571,4.125,3.85714285714286
"ENG3.2",2,22,1,4,1,4,1,2,2,4,1,4,1,4,1,4,3,4,1,2,1,1,4,4,4,4,1,2,2,2,1,3.42857142857143,1.5,3.71428571428571
"ENG3.2",1,4,4,5,3,3,4,5,5,4,2,5,3,4,2,5,4,3,4,5,3,3,5,4,5,4,4,4,4,2,3.2,4.71428571428571,3.625,4
"ENG3.2",2,18,2,3,2,5,3,4,4,4,2,3,3,4,4,2,5,3,2,3,2,3,4,4,5,3,2,4,3,2,2.6,3.14285714285714,3,4.14285714285714
"ENG3.2",2,18,4,4,1,5,4,3,2,5,3,4,4,2,4,4,2,5,1,5,2,2,2,4,5,4,2,2,3,2,3.2,4,2.25,3.71428571428571
"ENG3.2",1,13,3,4,4,2,3,2,3,4,3,2,3,2,3,4,2,2,3,4,4,4,2,2,2,2,3,2,3,2,3,2.85714285714286,3.25,2.28571428571429
"ENG3.2",2,15,2,2,2,4,2,4,2,4,2,2,2,4,2,2,2,4,2,2,2,2,4,2,4,2,2,4,2,2,2,2.28571428571429,2,4
"ENG3.2",1,32,1,2,4,4,1,4,2,5,1,1,2,4,1,2,2,4,3,5,2,2,4,2,4,2,1,4,2,2,1.4,2.57142857142857,2.125,4.14285714285714
"ENG3.2",2,34,3,3,5,5,5,1,5,5,3,1,5,5,5,4,5,5,5,5,5,3,5,3,5,3,3,5,5,2,4.2,2.85714285714286,4.5,5
"ENG3.2",2,13,2,4,3,3,1,2,4,4,2,2,4,3,2,4,4,4,2,3,3,2,2,2,3,3,1,3,2,2,1.8,2.85714285714286,2.875,3.14285714285714
"ENG3.2",1,21,2,4,3,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,4,2,2,4,4,4,4,2,2,2.57142857142857,3.875,3.71428571428571
"ENG3.2",1,21,2,3,4,2,3,1,4,4,2,3,2,3,2,4,2,4,2,4,2,4,3,3,2,4,4,2,4,2,2.2,3.14285714285714,3.25,2.85714285714286
"ENG3.2",2,20,3,4,3,4,3,2,3,4,3,3,4,5,2,2,5,4,3,3,3,3,3,3,4,3,3,3,3,2,2.8,2.85714285714286,3.375,3.85714285714286
"ENG3.2",2,13,2,5,4,4,2,4,2,5,2,5,2,4,2,2,4,5,2,4,2,2,2,4,4,4,2,4,2,2,2,4,2.5,4
"ENG3.2",1,33,1,4,2,3,1,4,2,4,1,3,3,4,1,4,3,4,1,4,2,2,4,4,2,4,1,4,3,2,1,3.85714285714286,2.25,3.57142857142857
"ENG3.2",1,10,2,2,3,4,3,3,4,4,2,3,3,4,3,3,2,2,4,2,2,4,2,3,2,3,2,3,2,2,2.8,2.71428571428571,2.75,3
"ENG3.2",1,12,3,3,3,3,4,4,4,4,4,3,3,3,3,4,3,4,4,4,3,4,5,4,4,4,3,3,4,2,3.6,3.71428571428571,3.375,3.71428571428571
"ENG3.2",1,19,1,4,4,3,2,1,4,3,1,2,4,2,2,4,5,2,1,5,4,3,4,4,2,4,3,3,4,2,1.4,3.42857142857143,3.875,2.71428571428571
"ENG3.2",1,13,2,3,3,2,2,1,2,2,2,3,4,2,2,3,4,2,4,4,2,4,2,3,2,3,3,2,2,2,2.4,2.85714285714286,3,2
"ENG3.2",2,13,2,2,5,3,2,3,5,3,1,2,4,2,4,3,5,3,2,3,4,5,3,1,2,3,4,4,5,2,2.2,2.42857142857143,4.625,2.85714285714286
"ENG3.2",1,7,4,4,4,3,4,2,2,5,5,4,5,5,1,3,5,5,4,5,2,4,2,4,4,4,5,4,4,2,3.6,3.71428571428571,3.875,4
"ENG3.2",2,5,4,4,5,4,4,4,4,4,3,4,4,5,5,5,4,4,4,4,4,5,4,3,4,4,4,4,4,2,4,4,4.25,4.14285714285714
"ENG3.2",2,5,3,3,3,3,3,2,3,3,4,2,4,2,2,4,4,3,4,4,2,4,2,2,3,3,3,4,3,2,3.2,2.85714285714286,3.25,2.85714285714286
"ENG3.2",1,19,2,3,2,3,2,2,4,4,2,2,3,4,2,3,3,2,2,3,3,3,4,2,3,2,2,2,4,2,2,2.42857142857143,3,3.14285714285714
"ENG3.2",2,44,2,4,3,4,3,2,5,4,2,3,4,4,2,3,4,4,2,3,4,4,4,3,2,4,3,4,3,2,2.2,3.14285714285714,3.75,3.71428571428571
"ENG3.2",1,10,4,4,3,4,2,3,2,4,4,3,2,3,3,3,3,3,4,4,2,3,2,3,3,2,4,4,2,2,3.4,3.14285714285714,2.625,3.28571428571429
"ENG3.2",2,11,3,5,3,5,3,3,5,5,3,1,3,4,3,3,4,5,3,3,4,3,4,3,4,4,3,4,5,2,3,3.14285714285714,3.75,4.42857142857143
"ENG3.2",2,13,4,3,4,4,2,1,2,3,2,1,1,1,1,2,5,2,1,2,5,4,5,5,3,2,2,3,2,2,2,2.28571428571429,3.125,3
"ENG3.2",2,18,1,2,4,5,1,2,5,5,1,2,5,4,2,2,4,4,1,2,5,2,4,2,4,2,1,4,4,2,1.2,2,3.75,4.28571428571429
"ENG3.2",2,46,2,3,4,4,2,2,4,4,2,4,4,4,1,4,4,4,3,4,4,3,3,3,3,3,4,4,4,2,2,3.28571428571429,3.875,3.71428571428571
"ENG3.2",2,36,1,5,4,5,3,1,5,5,3,3,5,5,5,1,3,5,4,5,5,1,5,4,5,2,5,5,5,2,3.2,3,4.125,5
"ENG3.2",1,13,2,4,3,4,4,3,4,5,2,2,3,4,4,3,4,4,3,4,4,2,4,4,3,4,2,4,2,2,3,3.42857142857143,3,4
"ENG3.2",1,8,2,3,4,2,4,1,2,5,4,3,2,2,4,2,2,5,2,2,2,5,2,2,2,4,4,2,2,2,3.2,2.42857142857143,2.875,2.85714285714286
"ENG3.2",2,9,5,1,4,5,5,1,5,5,5,3,5,5,5,5,5,5,5,5,5,3,5,3,5,1,5,5,5,2,5,2.71428571428571,4.625,5
"ENG3.2",2,9,1,1,1,5,1,1,5,5,1,1,5,5,1,1,5,5,1,5,5,1,5,1,5,1,1,5,5,2,1,1.57142857142857,3.5,5
"ENG3.2",1,28,5,3,4,4,4,1,4,4,4,3,5,3,4,2,4,5,4,2,5,3,3,3,3,4,4,3,4,2,4.2,2.57142857142857,4.125,3.57142857142857
"ENG3.2",2,17,4,4,4,4,3,3,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,3,4,3,4,4,2,3.8,3.85714285714286,4,3.85714285714286
"ENG3.2",2,13,2,2,3,4,2,2,3,4,2,2,4,4,2,4,4,4,4,4,3,4,4,3,4,3,4,3,2,2,2.4,2.85714285714286,3.375,3.85714285714286
"ENG3.2",1,9,1,4,1,4,1,2,2,4,1,2,1,5,2,5,1,5,2,4,1,1,2,4,5,4,1,4,1,2,1.4,3.57142857142857,1.125,4.14285714285714
"ENG3.2",2,13,3,4,3,2,2,1,4,3,3,4,1,4,2,4,4,4,3,3,3,1,2,4,2,4,2,2,4,2,2.6,3.42857142857143,2.75,2.71428571428571
"ENG3.2",2,6,2,4,2,4,2,2,4,4,2,3,3,4,2,4,5,5,2,3,2,2,3,4,4,3,2,4,3,2,2,3.28571428571429,2.875,4
"ENG3.2",1,22,3,3,4,4,3,1,5,4,3,3,4,4,2,2,4,4,3,2,4,2,5,2,4,3,3,4,5,2,2.8,2.28571428571429,3.875,4.14285714285714
"ENG3.2",2,40,1,2,4,3,2,2,4,4,2,2,3,4,2,3,3,3,2,3,2,3,2,3,3,4,3,4,4,2,1.8,2.71428571428571,3.25,3.28571428571429
"ENG3.2",2,6,4,4,4,4,4,5,4,4,5,4,3,4,5,4,5,5,5,5,4,4,3,5,4,4,4,5,4,2,4.6,4.42857142857143,4,4.14285714285714
"ENG3.2",1,4,2,4,5,3,3,3,4,3,2,3,2,4,4,4,2,4,2,3,3,4,3,4,3,3,4,4,3,2,2.6,3.42857142857143,3.375,3.42857142857143
"ENG3.2",1,15,1,2,2,5,1,4,5,5,1,1,2,4,1,4,2,5,1,2,3,1,4,1,4,3,1,5,5,2,1,2.42857142857143,2.625,4.57142857142857
"ENG3.2",1,12,3,3,2,4,2,3,2,3,4,2,2,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3,2,2,2.8,2.71428571428571,2.25,3.14285714285714
"ENG3.2",2,18,1,1,3,5,1,1,5,5,1,1,3,5,1,1,5,5,1,1,4,1,5,2,5,1,2,5,3,2,1,1.14285714285714,3.25,5
"ENG3.2",2,6,1,4,2,5,1,5,5,4,1,4,5,4,1,4,5,3,1,5,5,2,5,4,4,5,3,4,5,2,1,4.42857142857143,4,4.14285714285714
"ENG3.2",1,42,1,4,4,4,2,2,5,4,2,1,3,4,2,2,4,4,2,2,2,2,4,1,4,1,4,4,5,2,1.8,1.85714285714286,3.625,4
"ENG3.2",1,10,3,4,5,1,3,2,5,4,3,3,4,2,4,4,3,3,3,2,4,5,2,3,2,3,4,2,5,2,3.2,3,4.375,2.28571428571429
"ENG3.2",1,13,4,2,3,3,4,2,4,4,4,2,3,4,4,3,4,4,4,3,4,3,4,3,3,2,4,3,4,2,4,2.42857142857143,3.625,3.57142857142857
"ENG3.2",1,15,2,2,2,4,2,2,4,4,2,3,3,3,1,3,4,3,2,3,3,2,3,2,2,2,3,2,4,2,1.8,2.42857142857143,3.125,3
"ENG3.2",1,11,2,4,4,2,2,1,4,3,2,2,3,4,3,4,3,3,2,3,4,4,2,3,2,3,2,4,4,2,2.2,2.85714285714286,3.5,2.85714285714286
"ENG3.2",2,28,2,4,2,4,2,2,4,4,2,2,2,2,2,2,2,4,2,4,2,2,4,2,4,2,2,4,4,2,2,2.57142857142857,2.5,3.71428571428571
"ENG3.2",1,26,1,3,1,4,1,3,5,5,1,3,5,4,1,4,5,3,1,1,3,2,5,3,5,3,3,5,5,2,1,2.85714285714286,3.625,4.42857142857143
"ENG3.2",2,10,3,4,4,2,4,2,4,4,3,2,4,4,3,3,4,4,2,4,4,4,2,2,4,2,4,4,4,2,3,2.71428571428571,4,3.42857142857143
"ENG3.2",1,14,1,2,2,4,2,2,4,4,1,2,2,4,1,5,2,4,1,2,2,2,4,4,4,5,2,4,2,2,1.2,3.14285714285714,2.25,4
"ENG3.2",2,15,2,1,4,3,2,1,5,5,2,1,5,4,1,5,1,4,2,2,5,2,3,1,4,4,3,5,5,2,1.8,2.14285714285714,3.75,4
"ENG3.2",2,12,2,3,4,2,2,2,4,4,2,2,4,3,2,3,4,4,4,3,4,4,2,3,2,3,4,3,4,2,2.4,2.71428571428571,4,2.85714285714286
"ENG3.2",1,19,2,4,5,4,2,1,4,5,2,4,4,4,2,2,5,5,4,2,4,4,2,2,2,5,4,4,4,2,2.4,2.85714285714286,4.25,3.71428571428571
"ENG3.2",1,7,1,1,5,3,1,1,5,5,3,1,5,5,1,3,5,3,5,3,5,5,3,3,3,3,5,5,5,2,2.2,2.14285714285714,5,3.85714285714286
"ENG3.2",2,8,3,3,3,4,4,4,2,4,3,3,2,4,3,3,4,4,4,4,3,3,4,3,4,4,3,3,3,2,3.4,3.42857142857143,2.875,3.85714285714286
"ENG3.2",1,17,1,3,3,3,1,2,4,4,1,2,4,2,2,3,4,5,2,3,2,2,4,2,5,3,3,3,4,2,1.4,2.57142857142857,3.25,3.71428571428571
"ENG3.2",2,12,2,3,4,3,2,1,3,3,3,3,4,3,3,4,4,2,2,3,4,4,3,2,2,3,4,3,3,2,2.4,2.71428571428571,3.75,2.71428571428571
"ENG3.2",1,17,1,1,1,5,1,1,5,4,1,2,3,4,1,4,5,4,1,2,2,2,5,5,4,2,1,4,5,2,1,2.42857142857143,3,4.28571428571429
"ENG3.2",1,15,1,3,4,5,1,2,5,5,2,1,4,5,1,4,5,5,1,3,2,4,4,3,5,4,2,4,4,2,1.2,2.85714285714286,3.75,4.71428571428571
"ENG3.2",1,18,1,2,1,3,1,3,2,4,1,2,2,4,1,4,3,4,2,4,1,1,4,2,4,3,1,4,5,2,1.2,2.85714285714286,2,3.85714285714286
"ENG3.2",1,3,3,4,2,4,3,2,4,5,3,2,2,2,2,4,2,4,2,4,2,2,3,4,4,4,2,4,2,2,2.6,3.42857142857143,2.25,3.71428571428571
"ENG3.2",2,22,3,3,3,5,3,1,5,5,3,2,3,4,3,3,4,5,3,3,4,4,5,2,4,2,3,4,4,2,3,2.28571428571429,3.75,4.57142857142857
"ENG3.2",2,20,4,5,3,5,2,2,4,4,3,5,2,4,3,4,4,5,1,3,2,1,4,4,4,5,4,5,5,2,2.6,4,3.125,4.42857142857143
"ENG3.2",2,35,1,2,3,3,3,4,2,3,2,2,4,3,3,4,4,4,3,3,3,3,2,2,2,3,4,2,4,2,2.4,2.85714285714286,3.375,2.71428571428571
"ENG3.2",1,14,4,4,3,5,3,1,5,4,3,4,4,5,4,4,4,4,2,5,3,2,3,4,5,4,3,4,3,2,3.2,3.71428571428571,3.375,4.28571428571429
"ENG3.2",2,11,3,3,3,3,3,2,4,5,3,3,3,3,3,4,4,4,4,4,4,4,2,2,4,3,4,3,3,2,3.2,3,3.625,3.42857142857143
"ENG3.2",2,10,2,2,3,4,2,4,3,4,1,2,2,4,2,3,4,4,2,4,3,3,5,2,4,3,2,4,5,2,1.8,2.85714285714286,3.125,4.14285714285714
"ENG3.2",1,9,3,3,3,2,2,2,4,3,2,2,4,4,4,4,3,3,3,3,4,5,3,4,2,2,4,4,4,2,2.8,2.85714285714286,3.875,3
"ENG3.2",2,20,2,3,3,5,2,2,2,5,1,2,2,5,1,3,4,5,2,3,2,1,5,3,5,2,1,4,4,2,1.6,2.57142857142857,2.375,4.85714285714286
"ENG3.2",2,15,3,4,4,3,3,1,4,4,3,3,5,3,2,4,5,4,4,4,3,4,4,4,2,5,4,5,2,2,3,3.57142857142857,3.875,3.57142857142857
"ENG3.2",1,9,3,3,3,5,3,3,3,4,3,2,3,4,3,4,4,5,2,3,3,3,4,4,4,2,3,4,3,2,2.8,3,3.125,4.28571428571429
"ENG3.2",1,27,2,2,4,4,2,4,4,5,2,2,4,5,1,4,4,4,2,4,4,4,4,4,4,4,4,5,4,2,1.8,3.42857142857143,4,4.42857142857143
"ENG3.2",1,12,2,2,4,4,2,3,4,4,2,2,2,4,2,2,2,4,2,4,2,2,4,2,4,3,3,4,4,2,2,2.57142857142857,2.875,4
"ENG3.2",1,17,1,1,4,5,1,1,4,5,1,1,4,5,1,5,3,2,3,3,4,4,5,1,5,5,4,3,4,2,1.4,2.42857142857143,3.875,4.28571428571429
"ENG3.2",2,17,3,3,4,4,3,2,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,3,4,2,3.4,3.14285714285714,4,3.85714285714286
"ENG3.2",2,19,2,4,4,4,2,2,4,4,1,2,4,4,2,4,4,5,1,4,5,1,4,3,4,4,4,5,5,2,1.6,3.28571428571429,3.875,4.28571428571429
"ENG3.2",2,19,3,3,3,4,3,3,4,3,3,3,4,3,3,3,4,4,2,3,4,4,4,3,4,4,4,3,4,2,2.8,3.14285714285714,3.875,3.57142857142857
"ENG3.2",2,20,1,2,3,4,3,1,2,5,1,3,3,1,2,2,2,5,1,2,2,3,2,4,5,4,5,5,2,2,1.6,2.57142857142857,2.75,3.85714285714286
"ENG3.2",1,7,5,1,3,1,5,1,4,3,1,2,2,1,2,4,4,4,4,2,4,2,1,2,2,3,3,2,1,2,3.4,2.14285714285714,2.875,2
"ENG3.2",1,1,4,4,4,4,4,2,4,4,5,4,4,2,4,4,2,2,4,4,4,4,4,4,2,4,2,4,4,2,4.2,3.71428571428571,3.5,3.14285714285714
"ENG3.2",1,24,3,3,4,3,3,3,4,3,3,3,3,3,3,4,3,3,4,4,3,5,3,3,3,3,3,4,3,2,3.2,3.28571428571429,3.5,3.14285714285714
"ENG3.2",2,32,4,4,3,4,3,1,3,4,4,2,2,4,3,4,4,4,4,4,2,2,2,3,4,3,2,3,2,2,3.6,3,2.5,3.57142857142857
"ENG3.2",1,24,4,4,4,2,4,4,4,2,4,2,4,4,4,4,4,4,4,4,1,2,1,2,2,2,2,4,4,2,4,3.14285714285714,3.125,2.71428571428571
"ENG3.2",2,18,1,1,1,5,1,1,5,5,1,1,5,4,1,3,3,5,1,5,5,2,5,3,5,3,4,5,1,2,1,2.42857142857143,3.25,4.85714285714286
"ENG3.2",1,17,3,4,4,4,5,4,5,4,3,4,4,4,2,4,4,4,4,3,3,3,4,4,4,4,2,4,2,2,3.4,3.85714285714286,3.375,4
"ENG3.2",1,4,2,4,4,4,3,2,4,4,2,4,4,4,4,4,4,4,3,4,3,4,2,4,3,4,4,4,4,2,2.8,3.71428571428571,3.875,3.57142857142857
"ENG3.2",2,22,2,3,2,4,2,2,4,4,2,2,2,4,2,4,4,4,2,4,2,2,4,2,4,3,2,4,4,2,2,2.85714285714286,2.75,4
"ENG3.2",2,21,4,4,4,2,4,4,2,5,4,4,4,4,4,4,2,4,2,4,4,2,2,4,4,4,2,2,2,2,3.6,4,2.75,3.28571428571429
"ENG3.2",2,11,4,3,3,4,4,4,3,4,3,3,3,3,4,3,4,4,4,4,1,3,3,3,4,4,4,2,3,2,3.8,3.42857142857143,3,3.42857142857143
"ENG3.2",1,19,1,3,3,4,3,1,4,5,2,2,3,4,3,3,2,3,2,3,3,3,4,2,3,3,3,3,4,2,2.2,2.42857142857143,3.125,3.71428571428571
"ENG3.2",1,12,2,3,4,1,1,2,2,2,2,2,2,2,2,4,2,2,1,4,2,4,1,2,2,2,4,4,2,2,1.6,2.71428571428571,2.75,2
"ENG3.2",1,4,1,5,4,3,4,4,4,4,3,2,4,4,4,4,4,3,5,4,4,4,5,4,3,4,2,3,5,2,3.4,3.85714285714286,3.875,3.57142857142857
"ENG3.2",1,10,3,3,4,3,3,4,3,3,4,3,3,4,4,3,3,3,4,4,3,4,3,2,3,4,3,2,3,2,3.6,3.28571428571429,3.25,3
"ENG3.2",2,32,4,4,4,4,2,2,4,4,4,4,4,4,2,4,4,5,2,3,5,4,4,2,4,3,4,4,5,2,2.8,3.14285714285714,4.25,4.14285714285714
"ENG3.2",1,24,5,2,2,2,4,2,3,5,5,3,4,2,5,5,3,5,5,3,4,1,1,4,3,4,1,3,3,2,4.8,3.28571428571429,2.625,3
"ENG3.2",1,12,5,4,4,4,4,3,4,3,4,3,5,4,4,3,3,5,3,4,4,4,4,4,3,3,3,4,4,2,4,3.42857142857143,3.875,3.85714285714286
"ENG3.2",1,41,2,1,2,5,1,1,4,5,1,1,2,5,1,2,5,5,2,3,1,1,5,1,5,1,1,5,4,2,1.4,1.42857142857143,2.5,5
"ENG3.2",2,10,1,4,2,5,2,2,2,5,1,2,4,4,2,4,4,5,2,3,4,2,4,4,5,4,2,4,4,2,1.6,3.28571428571429,3,4.57142857142857
"ENG3.2",2,22,2,3,2,5,4,2,5,5,4,2,5,3,3,4,5,5,4,3,4,4,5,2,5,2,4,4,5,2,3.4,2.57142857142857,4.25,4.57142857142857
"ENG3.2",1,46,1,3,1,4,2,1,5,4,1,1,2,4,1,2,3,2,2,2,1,2,4,1,4,2,1,3,5,2,1.4,1.71428571428571,2.5,3.57142857142857
"ENG3.2",1,20,1,2,2,4,2,4,2,5,1,2,1,3,1,4,3,4,1,2,1,1,4,3,3,2,1,5,2,2,1.2,2.71428571428571,1.625,4
"ENG3.2",1,37,1,4,4,1,3,2,4,2,1,2,4,2,2,2,4,2,2,5,2,4,2,2,2,2,4,2,5,2,1.8,2.71428571428571,3.875,1.85714285714286
"ENG3.2",2,40,2,4,4,3,3,2,4,4,3,3,3,3,2,4,4,3,2,4,3,3,3,3,3,4,3,3,4,2,2.4,3.42857142857143,3.5,3.14285714285714
"ENG3.2",1,25,2,3,3,4,2,1,5,5,2,2,2,5,2,1,3,5,2,1,2,3,4,2,4,3,2,4,5,2,2,1.85714285714286,3.125,4.42857142857143
"ENG3.2",1,14,2,4,4,2,2,2,4,4,3,2,4,3,2,4,2,3,2,3,2,3,2,3,2,4,2,2,4,2,2.2,3.14285714285714,3.125,2.57142857142857
"ENG3.2",1,63,2,4,4,2,2,2,2,4,2,4,2,1,4,4,3,4,4,5,3,4,1,3,2,4,4,2,2,2,2.8,3.71428571428571,3,2.28571428571429
"ENG3.2",1,4,4,5,4,4,4,2,2,4,4,5,5,2,4,2,2,4,4,4,4,5,3,4,2,4,4,4,4,2,4,3.71428571428571,3.75,3.28571428571429
"ENG3.2",1,15,2,3,3,4,2,2,4,4,3,2,2,4,2,2,4,4,3,2,3,3,4,4,4,3,2,4,4,2,2.4,2.57142857142857,3.125,4
"ENG3.2",2,13,2,4,2,4,2,2,4,4,2,2,4,4,2,2,4,5,4,2,2,2,4,1,4,2,2,4,4,2,2.4,2.14285714285714,3,4.14285714285714
"ENG3.2",1,17,3,5,5,1,3,1,4,4,3,4,5,2,5,4,5,3,3,5,3,4,3,4,4,3,4,1,3,2,3.4,3.71428571428571,4.125,2.57142857142857
"ENG3.2",1,21,4,4,3,2,3,4,4,3,4,4,4,4,1,5,4,2,5,5,2,1,2,4,2,5,1,4,2,2,3.4,4.42857142857143,2.625,2.71428571428571
"ENG3.2",1,24,1,1,4,5,1,3,4,5,1,1,4,4,2,4,5,5,1,5,3,3,4,2,4,2,5,5,4,2,1.2,2.57142857142857,4,4.57142857142857
"ENG3.2",1,22,4,4,4,2,2,4,4,4,4,3,4,3,3,4,4,3,4,4,4,4,2,4,4,4,4,4,4,2,3.4,3.85714285714286,4,3.14285714285714
"ENG3.2",1,37,2,3,4,3,2,3,3,4,2,3,2,4,3,3,4,4,2,3,2,3,3,3,3,3,2,2,3,2,2.2,3,2.875,3.28571428571429
"ENG3.2",1,37,1,2,2,1,1,2,5,5,1,2,5,4,1,4,5,5,1,2,2,2,2,1,4,1,5,4,5,2,1,2,3.875,3.57142857142857
"ENG3.2",2,39,4,4,4,2,2,3,2,4,4,3,2,3,2,4,4,3,2,2,2,4,2,4,2,2,2,2,4,2,2.8,3.14285714285714,3,2.57142857142857
"ENG3.2",1,42,2,4,4,3,2,2,4,4,3,4,3,4,2,4,4,2,3,4,4,4,4,4,2,4,3,4,4,2,2.4,3.71428571428571,3.75,3.28571428571429
"ENG3.2",1,35,2,4,4,2,2,2,5,4,2,3,4,4,2,3,5,3,1,3,4,4,2,3,2,3,4,3,4,2,1.8,3,4.25,2.85714285714286
"ENG3.2",1,15,1,2,3,4,1,2,3,4,1,2,2,4,1,4,3,4,2,2,3,2,4,2,4,3,2,4,3,2,1.2,2.42857142857143,2.625,4
"ENG3.2",2,33,2,4,4,3,2,4,2,4,2,3,4,4,2,2,3,3,1,4,4,2,2,3,2,2,4,4,3,2,1.8,3.14285714285714,3.25,3.14285714285714
"ENG3.2",2,14,1,4,3,4,1,4,4,4,1,3,2,5,2,5,3,3,2,4,3,2,4,3,3,4,2,4,4,2,1.4,3.85714285714286,2.875,3.85714285714286
"ENG3.2",2,16,1,4,4,5,1,1,5,5,2,1,1,5,1,4,5,5,4,4,1,4,5,2,5,4,2,5,4,2,1.8,2.85714285714286,3.25,5
"ENG3.2",1,17,2,2,3,3,2,1,3,4,2,1,3,4,2,4,4,4,3,4,3,4,4,3,4,4,3,4,4,2,2.2,2.71428571428571,3.375,3.85714285714286
"ENG3.2",1,6,2,2,4,4,1,1,4,4,2,2,4,5,2,3,3,3,3,2,3,3,4,3,3,3,2,5,3,2,2,2.28571428571429,3.25,4
"ENG3.2",2,22,1,4,2,4,1,2,4,5,1,4,2,5,2,4,2,4,1,4,2,1,4,4,2,4,2,2,4,2,1.2,3.71428571428571,2.375,3.71428571428571
"ENG3.2",1,24,2,3,5,3,3,2,4,4,2,2,4,2,4,2,4,3,4,2,2,4,2,3,3,2,4,4,2,2,3,2.28571428571429,3.625,3
"ENG3.2",1,9,2,4,3,3,4,3,2,4,2,3,3,4,4,4,4,4,2,3,2,2,3,4,4,4,2,4,4,2,2.8,3.57142857142857,2.75,3.71428571428571
"ENG3.2",2,43,1,1,2,5,1,2,5,5,1,1,1,5,1,1,4,5,1,3,4,1,5,1,5,1,1,5,5,2,1,1.42857142857143,2.875,5
"ENG3.2",2,48,2,4,2,4,2,2,4,4,2,4,2,4,2,4,4,4,2,4,2,2,4,4,4,4,2,4,4,2,2,3.71428571428571,2.75,4
"ENG3.2",1,11,1,5,1,4,2,3,5,5,1,3,4,1,2,1,5,5,1,4,4,2,4,4,4,4,4,2,5,2,1.4,3.42857142857143,3.75,3.57142857142857
"ENG3.2",2,20,1,3,3,4,1,3,5,4,1,1,3,4,2,2,3,4,2,3,3,2,4,4,3,3,2,4,1,2,1.4,2.71428571428571,2.75,3.85714285714286
"ENG3.2",1,7,2,2,4,4,2,4,4,4,2,3,4,2,3,3,4,4,2,4,4,3,3,4,4,3,4,4,5,2,2.2,3.28571428571429,4,3.57142857142857
"ENG3.2",2,51,4,4,4,3,3,4,4,4,4,4,4,2,2,3,4,4,3,3,4,3,4,3,4,3,4,2,5,2,3.2,3.42857142857143,4,3.28571428571429
"ENG3.2",2,6,2,2,4,2,2,2,5,4,2,2,5,2,2,3,5,4,2,2,5,4,2,3,4,4,4,4,5,2,2,2.57142857142857,4.625,3.14285714285714
"ENG3.2",2,49,2,2,4,4,2,2,4,4,2,2,4,2,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,2,2,2.57142857142857,3.75,3.71428571428571
"ENG3.2",2,46,2,4,4,3,3,2,4,4,3,3,4,3,2,4,5,3,4,4,4,3,3,3,3,5,3,4,4,2,2.8,3.57142857142857,3.875,3.28571428571429
"ENG3.2",2,37,1,5,1,2,2,1,5,5,3,1,3,5,1,4,5,5,4,2,2,1,2,2,2,2,1,5,5,2,2.2,2.42857142857143,2.875,3.71428571428571
