V1,Sexe,Age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27
524,1,22,1,1,3,1,1,3,3,5,1,1,3,5,1,4,3,3,3,3,1,1,3,3,3,3,1,5,3
526,1,25,3,4,1,2,2,2,2,4,2,2,2,4,2,3,3,3,2,4,2,2,3,4,3,4,2,2,2
529,1,25,1,2,2,2,3,2,4,3,1,1,3,3,2,1,3,3,4,3,3,3,1,1,2,1,2,2,4
531,1,26,3,2,3,2,2,1,2,2,1,1,3,2,2,3,3,3,1,2,2,3,2,3,2,3,3,2,4
534,1,24,3,3,3,3,1,1,3,3,4,1,4,4,4,4,3,2,2,1,2,3,3,3,3,1,1,4,2
535,1,24,4,3,4,2,2,2,5,3,2,3,3,3,4,4,3,2,1,4,3,4,3,4,3,4,4,2,5
536,1,25,1,3,1,5,1,3,5,5,1,3,1,3,1,3,5,5,1,3,2,3,5,1,5,1,1,3,5
537,1,24,3,4,4,1,1,1,4,3,1,2,4,2,3,3,3,2,3,2,4,4,1,2,2,3,3,2,4
539,1,21,2,3,4,2,2,4,4,5,2,1,3,3,4,5,2,5,3,4,3,5,4,4,3,4,3,2,5
540,1,21,1,3,1,5,3,1,5,5,1,3,3,1,3,3,3,1,1,1,3,2,4,4,1,4,3,3,5
545,1,23,2,1,3,1,1,2,2,4,1,1,2,3,2,1,4,4,1,2,5,3,3,3,2,2,2,2,4
546,1,21,4,4,2,2,3,3,4,4,3,2,4,4,4,3,3,3,3,4,3,4,2,3,3,4,2,4,4
547,1,19,3,2,3,3,1,2,4,3,1,2,4,4,2,3,4,3,1,2,4,3,3,3,2,1,3,3,4
548,1,28,4,3,4,2,4,2,5,4,3,2,4,2,3,3,3,3,4,3,4,4,2,4,3,4,3,3,5
550,1,21,3,3,2,1,1,2,4,4,1,2,2,2,1,4,3,3,1,1,4,3,2,3,3,3,4,2,4
554,1,21,4,2,3,3,1,4,3,4,4,1,4,4,3,4,4,4,3,3,2,3,4,2,3,3,2,4,3
556,1,24,4,3,4,3,4,2,5,3,4,1,4,4,4,3,4,3,3,2,3,4,2,3,3,4,2,4,3
557,1,23,2,3,2,3,4,1,3,4,3,1,2,4,4,4,4,2,3,3,3,2,2,3,3,4,2,5,3
558,1,20,4,1,3,3,1,2,4,3,2,4,2,4,2,3,3,4,2,3,4,1,4,4,3,3,2,5,4
559,1,26,3,1,1,2,2,1,1,4,2,3,2,2,2,3,2,1,2,5,2,4,1,2,2,3,2,2,2
560,1,28,3,2,4,2,2,3,5,5,3,2,4,3,3,4,4,5,3,3,4,3,4,2,4,3,3,3,5
