id,age,gender,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27,DQS_A_4,FAD_W_1,FAD_W_2,FAD_W_3,FAD_W_4,FAD_W_5,FAD_W_6,FAD_W_7,FAD_W_8,FAD_W_9,FAD_W_10,FAD_W_11,FAD_W_12,FAD_W_13,FAD_W_14,FAD_W_15,FAD_W_16,FAD_W_17,FAD_W_18,FAD_W_19,FAD_W_20,FAD_W_21,FAD_W_22,FAD_W_23,FAD_W_24,FAD_W_25,FAD_W_26,FAD_W_27,DQS_B_2,LOC_1,LOC_2,LOC_3,LOC_4,LOC_5,LOC_6,LOC_7,Rosenberg_1,Rosenberg_2,Rosenberg_3,Rosenberg_4,Rosenberg_5,Rosenberg_6,Rosenberg_7,Rosenberg_8,Rosenberg_9,Rosenberg_10,BSCS_1,BSCS_2,BSCS_3,BSCS_4,BSCS_5,BSCS_6,BSCS_7,BSCS_8,BSCS_9,BSCS_10,BSCS_11,BSCS_12,BSCS_13,DQS_C_3,GBJW_1,GBJW_2,GBJW_3,GBJW_4,GBJW_5,GBJW_6,GBJW_7,sample_id
385,62,2,2,2,4,4,2,4,5,4,2,2,5,2,2,3,4,3,3,3,4,3,4,4,4,4,3,3,5,4,2,3,3,3,3,3,5,3,2,1,5,3,3,3,5,3,4,3,4,5,3,4,2,4,2,3,5,2,5,5,5,5,3,5,3,2,3,3,3,1,3,3,3,2,3,3,4,3,4,4,4,3,3,3,5,4,4,4,3,4,4,3,2,4,3,4,1
386,28,2,4,3,4,5,2,4,4,4,4,2,4,5,2,4,4,4,4,3,4,4,5,3,2,1,4,4,4,4,4,3,3,3,3,4,4,3,5,2,3,5,3,4,4,4,4,4,3,4,5,2,2,2,2,4,4,2,3,1,5,2,7,7,7,3,1,4,4,1,1,4,1,1,4,3,3,1,2,3,1,4,3,2,4,3,2,3,3,4,5,4,4,5,4,5,2
387,44,2,1,5,5,3,4,4,5,4,2,4,4,3,5,5,2,4,1,4,5,1,4,5,2,5,4,3,3,4,1,2,4,4,3,5,4,4,2,5,4,2,4,5,2,4,3,4,2,3,4,4,3,5,3,2,2,2,7,7,7,7,4,5,2,1,4,2,1,4,4,1,2,4,2,4,5,4,4,5,2,3,4,3,1,3,5,4,3,3,2,3,2,4,2,2,1
388,19,1,1,2,3,4,3,3,3,2,3,3,4,4,2,3,4,4,3,3,4,4,4,3,4,3,3,3,3,4,1,1,3,3,1,3,3,2,1,2,3,4,3,3,4,4,3,3,3,4,4,3,4,3,3,5,5,2,5,5,2,3,2,7,7,3,4,2,1,3,4,2,4,4,3,3,4,3,2,3,3,2,3,3,3,4,2,3,3,4,3,4,3,4,2,2,2
389,19,2,3,4,2,4,2,2,3,5,2,2,4,4,2,4,3,4,4,2,2,4,3,4,3,4,2,3,3,4,3,4,4,2,2,2,4,4,4,4,4,4,3,4,4,4,3,3,3,4,3,5,3,4,3,4,4,2,3,5,4,6,5,5,5,2,3,3,3,3,3,2,3,3,3,4,4,2,2,4,2,2,2,3,2,2,3,3,3,4,5,5,2,4,3,3,1
390,53,2,3,4,5,4,3,2,5,3,4,4,5,3,2,4,5,4,4,3,4,4,5,4,3,4,5,3,5,4,4,4,5,4,3,2,5,4,3,4,3,3,5,5,5,4,5,3,4,5,5,5,5,4,3,3,5,2,3,7,7,7,5,6,5,2,4,4,2,4,3,3,2,3,4,5,1,3,5,2,4,3,5,4,5,5,3,4,3,3,5,5,2,4,6,2,2
391,34,2,2,3,4,5,2,4,4,4,2,2,4,3,2,3,4,3,3,3,4,4,4,4,4,3,2,4,4,4,2,4,3,3,2,4,4,3,2,2,4,3,4,3,4,3,4,2,4,4,3,4,2,4,3,2,4,2,4,5,5,4,4,5,3,3,3,3,4,2,2,3,2,2,3,2,4,4,3,2,4,2,2,4,4,4,4,4,3,3,5,3,2,4,3,4,1
392,41,2,1,4,3,4,2,2,5,4,1,3,5,4,2,4,4,4,4,3,5,1,5,4,4,2,4,4,5,4,1,4,2,2,2,2,5,5,1,4,5,4,2,4,4,2,4,2,4,1,1,4,2,3,1,4,4,2,3,5,5,5,3,3,3,2,3,2,2,2,3,3,2,2,3,4,5,4,4,2,5,1,1,2,5,4,2,5,3,2,4,2,1,1,2,1,2
393,51,2,4,2,4,5,2,2,4,4,4,3,4,2,4,2,2,4,4,2,4,3,4,4,4,2,4,4,4,4,4,2,4,2,4,2,4,4,4,2,4,2,4,2,3,4,4,4,4,4,4,4,4,4,4,4,3,2,2,4,4,4,5,6,5,4,2,3,4,2,2,4,2,2,4,3,2,2,2,5,4,4,4,1,5,3,2,2,3,4,4,3,4,4,3,3,1
394,29,2,3,4,2,4,4,1,5,3,2,4,5,1,2,2,4,4,3,3,2,4,4,4,2,4,3,2,5,4,3,3,3,2,2,1,4,3,2,4,4,2,2,3,4,4,3,2,2,5,2,4,2,4,4,2,4,2,5,5,4,4,3,5,5,2,3,3,3,3,3,3,3,3,2,2,3,1,2,5,2,4,3,4,5,4,4,2,3,5,2,3,3,5,2,1,1
395,62,1,1,4,4,5,2,2,5,5,1,2,5,3,1,4,4,5,4,4,4,5,4,3,5,2,4,5,5,4,1,4,5,4,1,2,5,5,1,3,5,2,2,4,5,5,3,5,5,5,4,4,5,4,4,5,5,2,5,5,5,5,4,6,4,2,3,3,3,3,3,3,2,2,3,4,5,3,4,4,5,3,3,5,3,4,3,4,3,3,4,2,4,3,1,2,1
396,45,2,5,3,3,2,5,2,3,4,5,5,2,3,3,3,3,4,4,3,5,5,2,5,3,5,2,4,3,4,5,4,4,3,3,2,5,3,4,4,3,4,4,4,3,4,3,4,3,5,4,4,3,5,3,4,3,2,5,5,6,7,6,6,6,3,4,2,2,4,3,3,4,3,3,3,3,3,2,5,2,3,1,3,5,4,5,1,3,4,4,4,4,4,4,1,2
397,29,2,1,2,2,2,3,2,4,4,3,3,5,3,5,3,4,4,3,2,3,5,3,2,2,4,4,3,4,4,3,3,3,3,3,3,4,4,2,3,4,3,4,4,5,2,3,2,5,5,3,3,4,4,4,2,4,2,5,5,5,5,3,6,4,2,3,2,2,4,3,3,4,3,2,3,5,3,1,5,2,4,3,1,3,2,2,4,3,4,2,2,1,4,2,1,1
398,27,2,4,3,4,5,3,2,4,3,4,3,3,2,3,3,4,5,3,3,4,3,4,4,4,5,4,3,4,4,4,4,4,3,5,3,4,3,3,4,3,2,4,5,4,5,4,3,4,4,3,4,4,5,4,3,4,2,5,7,5,7,5,6,4,3,4,2,2,3,4,3,3,4,3,4,4,4,2,4,4,3,3,4,3,4,5,5,3,2,4,4,2,4,4,4,2
399,26,2,3,3,3,4,2,2,4,3,2,2,3,3,2,3,3,4,3,3,3,3,3,2,4,2,3,4,3,4,3,3,3,2,2,2,3,3,2,2,4,3,3,3,3,4,3,3,4,4,3,2,4,3,4,3,3,2,4,4,3,5,4,5,5,3,3,3,2,3,3,3,3,3,3,3,4,4,2,4,2,3,3,3,3,3,3,3,3,4,4,3,2,4,2,2,1
400,50,2,3,4,3,4,3,2,4,4,3,2,5,3,2,4,2,4,4,3,3,3,4,5,2,3,3,4,4,4,3,2,4,2,4,3,4,2,4,3,5,3,4,4,4,4,4,3,4,5,4,4,3,4,3,4,4,2,2,3,3,2,5,6,5,2,1,3,3,1,1,4,3,1,3,1,2,1,2,5,2,3,3,2,3,3,3,1,3,4,4,4,2,5,4,2,2
401,31,1,2,4,4,4,1,2,2,4,2,2,4,4,2,4,4,3,4,1,2,4,3,4,2,4,4,2,2,4,2,2,4,2,1,2,3,4,2,2,4,4,3,5,5,2,4,2,2,4,4,4,3,5,4,1,4,2,5,6,3,2,3,6,5,2,4,3,3,2,4,3,4,3,2,4,4,4,2,5,5,3,1,3,3,4,2,4,3,2,1,1,3,2,1,1,2
402,41,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,4,3,3,3,3,3,4,3,4,2,3,3,4,2,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,2,3,3,2,3,3,2,3,3,2,2,3,4,2,4,3,3,2,2,2,2,3,2,3,4,3,3,3,4,3,3,1
403,25,2,2,4,4,3,2,2,4,4,1,3,4,2,3,4,4,4,2,4,4,4,2,3,3,3,4,1,4,4,1,3,4,2,2,2,5,3,1,4,4,2,2,4,4,3,2,4,3,4,2,4,4,2,3,1,4,2,3,3,4,3,3,5,3,2,3,2,2,3,3,2,3,3,3,2,2,2,3,5,4,2,5,3,4,4,4,2,3,3,2,3,3,3,2,4,2
404,38,2,2,4,3,4,2,4,3,5,3,3,3,3,2,3,3,5,2,4,3,2,4,4,4,4,3,4,3,4,3,4,3,3,3,4,4,4,3,4,4,3,3,3,3,5,3,4,4,2,4,4,3,4,2,4,3,2,4,3,5,6,5,6,6,3,3,3,3,3,2,3,2,2,2,3,4,4,3,3,4,3,3,4,2,3,2,2,3,4,4,4,4,4,2,5,2
405,41,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,2,4,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,2,3,3,3,4,3,3,4,3,4,4,2,1,3,4,3,4,4,4,2,3,3,2,3,3,2,2,3,3,1,3,2,1,4,2,3,3,3,3,2,3,1,3,2,2,3,2,2,3,3,2
406,36,1,1,4,5,5,2,2,4,3,1,3,4,4,2,4,4,4,2,4,2,2,3,4,4,4,4,4,5,4,1,4,4,3,1,2,4,4,1,2,4,4,2,4,4,5,1,4,2,4,4,4,4,4,1,3,4,2,2,3,4,4,5,6,6,2,3,3,2,2,2,2,2,2,3,4,4,2,2,4,4,3,2,4,2,2,2,2,3,4,4,4,3,5,3,4,1
407,43,1,1,3,3,5,1,1,5,2,1,3,5,2,2,4,3,4,2,1,3,4,4,2,2,2,3,2,5,4,1,3,2,2,1,1,5,2,1,3,5,2,2,4,4,4,2,1,2,4,2,2,2,3,4,2,5,2,4,4,4,5,4,5,5,1,4,3,2,3,3,2,3,3,2,2,3,4,3,3,3,2,4,4,4,3,2,4,3,2,5,1,2,2,2,1,1
408,36,1,1,1,5,5,1,1,5,5,1,1,5,4,2,1,5,5,5,5,5,5,5,1,5,4,2,1,5,4,1,2,5,5,2,1,5,5,1,2,5,4,5,2,5,5,5,1,5,5,5,1,5,2,1,5,4,2,5,6,1,2,5,5,7,2,4,1,3,2,2,2,4,2,2,1,4,4,4,4,4,5,1,1,4,4,1,4,3,5,6,5,4,5,4,2,2
409,24,1,4,3,4,4,2,3,4,1,3,2,5,4,2,4,4,5,4,4,4,2,4,4,4,2,4,4,5,4,2,4,4,4,3,4,5,3,2,3,5,3,4,4,5,4,3,2,3,5,4,3,4,3,4,4,4,2,5,5,6,5,5,5,5,2,3,2,3,3,3,2,3,2,3,4,5,3,4,3,4,3,3,5,4,4,3,4,3,4,4,4,4,4,4,3,2
410,18,2,1,1,4,2,4,1,4,4,2,1,5,2,4,2,4,2,4,4,5,4,2,3,4,4,4,1,5,4,1,3,4,2,4,1,5,3,1,1,5,2,5,4,5,2,4,4,4,5,1,4,4,5,3,1,5,2,2,2,1,2,5,5,5,3,4,3,2,2,3,3,3,3,3,3,4,4,2,5,4,2,1,2,3,2,1,5,3,1,2,2,1,1,3,1,2
411,27,2,3,2,4,4,4,2,5,4,4,1,5,4,5,3,4,3,4,2,5,3,4,2,2,1,4,4,5,4,4,2,4,4,4,2,5,4,4,1,5,4,5,2,5,3,4,2,5,4,4,2,3,2,4,4,5,2,3,3,5,2,6,4,6,3,2,3,3,2,1,2,2,1,3,1,5,2,2,4,2,4,1,4,2,2,2,3,3,4,2,4,2,3,2,2,1
412,34,2,1,2,1,2,1,3,1,1,1,2,4,4,1,4,4,4,2,4,1,1,5,2,5,2,1,4,2,4,1,4,1,2,1,3,4,5,1,2,2,4,4,4,4,5,2,4,4,3,5,2,5,1,1,4,1,2,1,1,3,3,5,7,6,2,4,3,2,3,4,3,4,4,3,5,5,3,4,5,5,3,3,5,3,5,3,2,3,5,5,5,2,5,3,4,1
413,48,1,1,2,1,4,2,1,5,4,1,1,2,4,3,2,2,4,2,2,2,1,3,4,4,4,1,3,5,4,1,4,2,2,5,1,5,4,1,4,4,4,3,2,4,3,2,2,2,2,4,4,2,4,2,2,5,2,5,5,5,3,3,6,5,2,3,2,2,3,3,2,3,3,2,4,4,2,4,4,4,2,1,2,3,4,4,4,3,1,5,2,1,5,2,1,2
414,34,2,2,3,3,4,2,2,4,4,2,2,2,3,2,2,4,5,3,3,2,3,4,4,5,2,2,4,2,4,2,2,3,2,2,2,4,4,2,2,4,3,2,3,2,4,4,3,3,3,4,2,2,3,2,3,3,2,5,4,4,5,5,5,6,2,3,2,3,3,3,2,3,3,2,2,4,2,3,4,4,3,4,3,4,2,2,2,3,4,4,4,3,4,2,2,1
415,37,2,3,4,3,4,2,3,3,3,3,2,4,3,3,4,4,3,3,2,3,3,4,4,3,2,3,3,5,4,3,3,4,3,2,2,4,2,2,3,4,3,3,3,4,3,3,2,3,3,3,4,3,3,3,3,4,2,4,3,2,4,5,6,4,2,3,3,2,2,2,3,3,3,2,3,4,2,3,4,3,3,2,2,5,2,2,4,3,4,3,4,3,4,3,2,1
416,32,2,1,4,2,5,1,3,5,5,1,1,5,2,2,4,4,5,2,2,2,4,5,2,4,2,2,4,5,4,1,4,2,4,2,4,5,5,1,2,5,2,4,4,4,5,1,2,4,4,4,2,5,4,2,4,5,2,1,2,5,3,5,6,5,2,3,2,2,3,3,3,4,3,2,1,2,2,2,4,2,4,1,2,2,2,2,2,3,4,5,4,2,4,2,1,1
417,28,1,1,3,2,4,2,1,4,3,1,1,4,2,2,4,3,3,2,4,4,4,3,2,3,2,2,1,4,4,2,3,2,2,2,1,5,3,1,3,4,1,4,4,5,4,4,2,4,4,3,2,3,4,2,1,1,2,4,2,1,5,2,5,6,2,4,1,2,4,4,2,3,3,2,4,5,5,3,4,5,3,3,3,5,5,1,5,3,5,3,3,2,5,1,1,2
418,23,2,2,2,5,3,3,1,3,3,2,3,3,2,4,2,3,3,4,2,4,3,3,5,2,4,4,4,3,4,1,2,2,2,2,2,2,2,2,2,2,2,4,4,2,3,4,2,3,4,2,4,2,4,3,4,3,2,3,5,4,4,5,5,5,1,4,1,2,2,4,1,3,3,1,4,4,4,1,5,3,3,2,1,2,5,4,3,3,4,2,2,4,2,2,2,1
419,34,2,4,1,5,4,1,2,5,3,2,2,4,4,1,3,5,3,5,4,4,3,4,4,3,5,3,3,5,4,3,4,5,4,5,1,5,5,5,2,5,4,2,4,5,3,4,4,5,2,5,4,3,5,4,2,5,2,5,6,7,5,5,6,2,2,2,2,2,3,3,3,4,2,3,4,5,4,1,5,5,2,1,1,2,1,5,5,3,5,6,4,5,4,4,1,2
420,53,2,1,2,2,4,1,1,3,3,1,1,3,4,1,1,2,3,1,2,3,1,4,1,2,1,2,3,4,4,1,2,3,3,3,1,3,4,2,2,3,5,4,3,3,3,3,2,3,3,4,2,3,2,2,3,4,2,2,4,1,4,4,6,5,3,3,2,3,3,2,3,3,2,3,2,4,1,3,3,3,4,2,2,3,2,2,4,3,2,5,2,1,2,2,3,2
421,30,2,3,4,4,4,3,3,5,3,3,4,4,3,2,4,4,5,4,4,3,3,4,4,4,4,4,5,4,4,3,4,3,2,4,2,5,3,3,4,4,2,4,4,1,5,4,3,4,4,4,4,4,4,4,4,5,2,4,4,7,7,5,7,5,2,3,2,3,2,2,3,3,2,3,5,5,2,2,5,5,2,1,2,5,4,1,3,3,4,5,4,2,4,2,4,2
422,42,1,1,3,4,4,2,2,2,2,1,2,5,4,1,4,3,5,2,3,3,4,3,3,3,4,4,2,4,4,1,3,4,3,2,2,5,1,1,3,5,4,3,3,2,4,4,3,4,3,2,3,3,4,2,4,5,2,5,5,4,3,4,5,5,2,3,2,3,2,3,2,3,2,2,2,3,2,2,5,3,3,1,3,3,2,3,3,3,2,4,3,2,2,3,2,2
423,33,2,2,3,3,3,3,2,4,3,2,2,3,2,3,3,4,4,3,3,4,3,4,3,3,3,2,2,4,4,2,3,3,2,3,2,3,3,2,2,3,2,3,3,4,4,2,3,3,4,3,3,3,3,2,3,4,2,5,6,5,5,4,5,4,2,3,2,3,3,2,3,3,2,2,2,4,2,3,4,3,3,2,4,3,3,3,4,3,4,4,4,2,4,3,2,1
424,45,2,3,3,3,5,2,3,4,4,3,2,4,4,2,4,4,5,4,4,4,4,4,4,4,2,3,3,3,4,2,3,3,4,3,2,4,4,3,3,4,4,2,3,4,4,3,3,3,4,4,3,3,3,3,3,2,2,5,5,3,4,4,6,6,3,3,3,3,3,2,3,3,2,3,2,3,3,3,4,3,4,3,3,2,4,4,3,3,4,4,4,4,4,4,4,2
425,35,2,2,5,4,2,4,1,4,4,2,5,4,2,4,2,4,4,2,2,4,4,3,4,4,4,4,2,4,4,2,5,3,2,3,1,3,3,3,5,4,2,4,3,4,4,2,2,4,4,3,4,2,4,3,2,4,2,4,5,6,6,3,4,3,1,4,1,2,4,4,1,3,4,1,5,5,5,5,5,5,1,1,5,2,5,4,5,3,4,4,4,2,4,2,2,2
426,24,1,4,3,5,4,4,4,3,4,4,4,4,5,2,3,4,4,4,2,5,5,5,4,3,4,4,5,5,4,3,2,4,4,3,4,3,4,2,4,4,2,4,4,5,5,4,2,4,4,5,3,4,4,5,2,4,2,4,6,5,4,6,6,5,4,2,3,3,2,2,4,3,2,3,5,2,1,2,4,4,4,2,4,3,2,2,4,3,4,3,3,4,5,4,4,2
427,20,2,3,3,4,4,2,5,3,4,3,2,4,4,2,4,4,5,4,2,4,4,4,5,3,4,4,5,4,4,3,4,4,4,4,5,2,4,3,2,4,3,2,5,5,5,4,1,3,5,2,5,2,5,4,3,3,2,5,6,2,4,3,6,6,4,4,2,2,2,2,3,3,2,4,2,5,2,2,4,1,5,3,4,3,4,4,5,3,3,2,3,3,2,3,1,2
428,54,2,2,3,4,5,1,2,4,4,1,3,3,4,2,3,4,4,5,3,2,2,4,3,4,2,2,4,4,4,1,2,4,2,1,3,4,4,2,2,3,4,2,3,4,3,4,3,3,5,5,2,4,2,2,3,4,2,2,2,1,2,4,5,6,3,2,3,3,2,1,3,3,2,3,1,5,2,2,5,4,4,2,2,4,4,3,2,3,4,3,2,2,4,2,1,1
429,34,2,2,3,4,3,2,2,5,3,2,4,5,3,3,2,4,2,4,2,4,4,3,4,2,4,4,4,4,4,2,3,4,2,2,2,5,3,2,4,4,3,3,2,5,3,4,3,4,4,4,3,2,4,2,3,5,2,5,5,4,5,4,6,5,2,3,4,3,2,2,4,3,2,4,1,4,3,3,5,2,3,4,3,4,2,2,2,3,4,4,4,3,3,1,1,2
430,59,2,1,1,2,4,1,1,1,2,1,1,1,4,1,4,4,2,2,1,1,1,4,2,2,2,2,1,2,4,1,2,1,4,1,1,3,2,1,1,1,4,1,4,2,2,2,1,2,1,2,2,2,1,2,2,1,2,1,1,3,2,5,3,3,4,3,3,2,2,2,3,2,3,4,4,5,4,2,4,4,2,1,5,2,4,5,2,3,1,4,2,1,2,2,2,2
431,29,2,4,2,4,5,2,2,5,5,2,2,5,5,1,3,4,5,5,3,5,5,4,3,4,2,4,5,4,4,4,4,4,4,2,1,5,4,4,2,4,5,4,4,4,5,2,2,4,5,4,4,4,5,5,4,5,2,5,3,4,4,5,7,6,4,2,3,3,2,2,3,2,1,3,2,4,3,4,4,4,2,2,4,3,1,3,2,3,4,5,5,4,4,3,1,2
432,36,2,1,3,2,5,3,2,5,4,1,2,4,2,2,2,3,5,5,3,2,4,4,2,4,1,2,2,5,4,1,2,2,1,2,1,5,4,1,2,4,4,3,2,5,5,5,4,4,4,4,1,4,1,3,2,5,2,5,5,5,3,6,3,7,3,3,3,3,2,3,3,4,3,3,4,5,4,1,5,2,4,5,2,2,4,2,4,3,1,2,4,1,1,1,2,1
433,37,2,2,3,3,4,2,4,4,4,2,2,4,3,4,4,3,4,5,3,4,3,3,4,3,3,3,4,4,4,2,2,4,2,3,4,5,2,3,2,3,3,4,3,3,4,5,3,2,5,2,4,4,4,3,3,4,2,4,4,4,5,5,6,5,3,4,2,1,3,4,3,3,4,2,3,5,5,3,4,5,2,3,5,2,2,2,4,3,4,5,4,3,5,4,4,2
434,24,2,4,3,2,4,3,3,4,4,4,4,4,4,2,2,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,5,3,4,3,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,3,4,2,5,5,4,5,5,5,5,2,3,2,3,4,3,2,4,3,2,3,4,1,3,4,3,3,4,4,2,3,3,3,3,4,4,4,2,4,2,2,2
435,53,2,2,5,2,4,4,3,3,4,2,4,2,4,2,4,4,5,3,3,5,3,4,2,4,2,2,4,4,4,3,5,2,3,3,3,4,5,3,4,4,4,4,5,2,2,4,2,3,4,3,3,3,3,2,4,4,2,2,4,5,3,6,5,6,2,4,2,2,4,4,3,2,3,2,3,4,2,3,4,3,4,2,3,2,3,1,4,3,4,4,2,2,3,3,2,2
436,24,2,2,3,2,4,2,4,2,4,2,2,3,4,2,4,3,3,4,3,3,3,3,3,3,4,3,2,3,4,3,3,3,2,2,3,4,3,3,3,4,4,3,4,3,2,4,3,3,4,3,3,3,4,2,2,3,2,4,5,5,4,5,5,4,3,3,3,2,2,3,2,3,2,3,4,3,2,3,5,2,3,1,3,3,4,3,3,3,4,4,3,4,4,4,2,2
437,31,1,3,3,4,4,2,1,4,3,3,3,4,4,2,2,3,4,4,4,3,3,4,4,2,4,4,1,4,4,3,3,4,2,1,1,4,2,3,3,3,4,3,2,4,4,4,4,4,4,2,4,2,4,3,1,4,2,3,5,3,4,4,6,7,4,2,4,4,1,1,4,1,1,4,4,4,2,4,4,5,2,1,1,2,4,2,4,3,4,4,2,4,4,1,1,2
438,43,2,5,2,3,4,2,2,3,4,4,3,4,3,4,3,3,5,4,3,4,4,4,4,3,4,2,4,4,4,4,3,3,2,2,2,4,3,4,3,4,3,4,3,4,5,4,3,4,4,3,4,3,4,4,3,5,2,2,3,5,4,4,6,5,2,3,2,3,3,2,2,3,2,2,2,3,3,2,4,2,3,2,2,2,2,2,3,3,4,4,3,3,4,3,2,1
439,23,2,1,2,4,5,2,1,4,5,2,1,4,5,1,4,4,3,4,3,3,3,4,2,4,3,4,3,4,4,1,1,4,3,1,1,4,4,2,1,4,5,2,4,5,2,4,3,4,4,4,3,2,4,4,3,5,2,4,5,5,5,6,6,7,1,4,3,2,2,4,1,4,4,2,4,5,2,4,4,4,1,3,3,4,4,1,5,3,5,5,6,4,5,3,2,1
440,31,2,4,4,4,2,2,1,4,4,2,4,2,4,2,3,3,4,4,4,3,3,4,3,4,4,4,1,4,4,2,4,4,1,2,1,4,2,2,4,4,4,5,3,4,4,4,4,4,4,1,2,2,4,2,2,4,2,5,5,4,5,4,6,7,3,2,3,4,2,2,4,2,1,4,2,4,2,4,3,3,1,4,2,4,4,3,3,3,5,4,4,5,5,4,1,2
441,20,2,1,4,3,5,2,2,5,4,1,1,4,4,4,2,4,3,4,3,3,4,4,2,4,1,4,2,5,4,1,2,4,4,4,1,4,4,2,1,5,4,4,2,4,4,4,2,4,4,4,1,4,2,4,2,4,2,2,3,5,4,5,5,6,4,1,4,4,2,1,4,2,2,4,3,5,3,2,5,4,2,2,3,1,2,2,5,3,4,5,5,3,4,3,2,1
442,52,2,4,2,4,4,3,3,5,4,3,4,4,3,2,3,3,5,3,2,3,4,4,4,4,2,4,3,5,4,3,3,4,2,3,4,4,3,4,3,4,3,3,3,5,5,3,2,3,4,4,3,4,3,4,3,4,2,3,3,4,5,5,5,4,2,3,2,2,3,3,3,3,3,2,2,3,2,2,4,2,4,2,3,3,3,3,3,3,4,4,3,3,4,4,4,1
443,23,2,3,3,4,4,3,2,5,4,3,3,4,3,4,3,4,4,3,3,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,2,5,4,3,3,4,3,4,3,4,4,3,3,4,4,4,3,4,4,4,4,4,2,5,5,4,5,5,5,4,1,4,1,2,4,4,2,3,4,2,5,5,1,3,3,4,2,1,4,2,5,3,5,3,4,3,4,2,4,2,2,2
444,46,2,4,4,4,4,3,2,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,3,4,2,4,3,3,3,3,4,4,4,4,5,4,4,3,4,4,4,3,4,4,3,4,2,4,6,4,6,5,5,5,3,3,2,2,3,3,3,3,3,2,4,5,4,4,3,4,2,3,5,3,4,3,4,3,5,3,2,4,4,1,1,2
445,41,1,1,2,2,5,1,1,2,4,1,2,2,4,2,3,4,4,2,2,2,2,4,4,4,2,2,4,2,4,2,2,2,2,2,1,2,4,1,2,2,4,2,2,4,4,2,2,1,2,3,3,4,2,2,4,2,2,2,3,3,3,3,5,5,3,1,3,3,1,1,4,1,1,3,2,2,2,2,4,2,4,2,2,4,2,2,2,3,4,4,4,3,4,3,2,1
446,49,1,2,4,2,5,2,2,4,5,2,4,4,2,2,2,2,5,2,2,4,4,4,4,5,4,2,4,4,4,2,2,2,1,1,2,4,5,2,4,4,2,2,2,2,5,2,1,2,4,3,2,5,4,4,4,2,2,2,1,1,1,6,7,6,4,1,4,4,1,1,4,2,1,3,2,1,1,2,4,1,2,5,1,4,2,2,2,3,4,4,1,2,4,1,1,2
447,40,1,3,3,1,5,1,3,2,4,3,3,4,3,2,3,3,5,3,3,3,3,4,3,4,2,3,4,4,4,3,3,3,4,2,3,2,4,3,3,3,4,2,3,4,5,4,3,4,4,4,3,4,4,3,4,3,2,3,2,4,4,5,5,5,3,2,3,3,2,2,3,3,2,3,4,4,4,2,4,4,3,2,3,3,4,2,4,3,4,4,4,3,4,4,4,1
448,47,2,3,3,4,3,2,3,4,4,2,3,3,4,2,3,4,5,3,3,4,3,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,5,3,3,3,4,3,3,4,5,4,3,4,4,4,3,5,4,4,4,4,2,4,4,5,4,5,6,4,2,4,2,2,4,4,2,4,4,3,5,5,4,3,5,5,2,5,5,4,5,4,4,3,4,6,4,6,4,6,3,1
449,50,2,3,3,3,4,2,3,3,4,3,2,3,4,3,4,2,4,3,3,2,4,4,3,4,3,3,4,2,4,3,3,3,2,2,3,3,3,4,3,3,4,4,4,3,4,3,2,3,4,4,3,4,3,3,3,4,2,3,3,3,4,4,5,5,2,3,2,3,3,3,3,3,3,2,3,4,2,2,4,2,4,4,2,3,3,2,2,3,4,4,4,3,3,4,2,2
450,30,1,1,3,4,4,2,2,4,1,1,1,2,4,2,1,4,3,2,5,4,2,4,2,2,2,4,4,5,4,1,2,4,3,2,2,4,1,1,2,2,4,3,2,4,3,1,5,4,1,4,2,3,2,2,3,4,2,1,1,1,1,4,7,7,1,2,2,2,3,3,3,3,2,2,3,4,3,4,4,3,2,1,4,1,4,4,5,3,4,4,4,4,4,2,3,1
451,44,1,2,3,2,4,2,2,4,2,2,3,4,2,2,4,3,2,4,4,2,3,3,4,4,4,2,4,4,4,3,4,4,3,4,2,4,4,2,3,4,2,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,2,5,5,4,5,3,5,6,3,2,3,3,3,2,3,3,2,3,4,4,4,4,4,4,2,3,3,3,4,2,4,3,4,4,4,3,4,4,4,1
452,39,1,2,2,4,5,1,1,5,1,3,2,4,2,2,3,4,5,4,3,3,2,4,4,4,3,4,4,5,4,4,4,4,2,1,2,5,5,3,3,4,2,3,2,4,3,4,4,4,3,4,4,4,4,2,4,5,2,6,5,2,4,1,7,4,4,1,4,4,1,1,4,2,1,4,3,1,1,1,2,2,3,4,2,4,2,3,3,3,5,6,4,1,5,2,2,1
