"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"UP19" "0.144299120684171" "0.0800072418923758" "0.711593641270846" "0.122452230464099" "0.0912052728122143" "0.0928610356324341" "0.0823415809673116" "0.154169333422954" "0.0826260182118283" "-0.0339440432387176" "0.00767344708298701" "-0.0328783800064502" "0.160177330191246" "0.125691855957334" "0.0460559221718932" "0.0248265744480904" "0.286255663348976" "0.287665396064728" "0.481033872052844" "0.332854338637404" "1" "0.258043572594095" "0.380352276557749" "0.276470067645251" "0.00657655984858302" "0.089539970989988" "0.125268297296814" "0.0726224631947546" "0.0921761537678561" "0.0551890974197279" "0.071983105252337" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP20" "0.207829030872562" "0.136202720828942" "0.522180005196654" "0.00557255315644433" "0.235160138067192" "0.0806478168345852" "0.134181543699855" "0.124495275108885" "0.145004432247253" "0.108427071198167" "-0.0870504458402923" "0.0649024696848215" "0.0924025786517883" "0.114032843818653" "0.117828732823546" "0.107324702134837" "0.305218639427981" "0.132214769592637" "0.306299957884032" "0.105643892400236" "0.258043572594095" "1" "0.301931581579456" "0.0679347364639877" "-0.0581923221386894" "-0.00187263703052761" "-0.0256898477085194" "0.0666821130794557" "-0.0111117982660856" "0.0161354291600568" "0.0380158597931478" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP25" "0.211173261812882" "0.135858429285794" "0.606567244015809" "0.0504517317058518" "0.194563972521577" "0.13940095358433" "0.122673751595873" "0.175433760531351" "0.104389813492766" "0.0698103504359955" "0.068933187398635" "0.0419183863829866" "0.0692831584098598" "0.0711335046040539" "0.0546277942483385" "0.13100698469152" "0.336001790742209" "0.159179121333479" "0.409470502169192" "0.210542833451747" "0.380352276557749" "0.301931581579456" "1" "0.124936958666588" "-0.0271705344978802" "-5.17278136446346e-05" "0.0718517435932738" "0.0487149332781586" "0.0432751750101218" "0.0277208511056947" "0.0471705656058974" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0"
"UP27" "-0.16372751000995" "-0.0595932074167326" "0.491875366634319" "0.0421438351326325" "-0.123478003773763" "-0.138456508062908" "-0.176919000705958" "-0.0356676144038757" "-0.0976170078965657" "-0.0585586559824068" "-0.0780558982166288" "-0.133747275651139" "0.0459337159359092" "-0.0515573635940578" "0.00648197532407254" "0.044626262784023" "0.0634863701522913" "0.37838976937874" "0.153746873973334" "0.171474488785286" "0.276470067645251" "0.0679347364639877" "0.124936958666588" "1" "0.019542548496261" "0.0615161286443845" "-0.0113198572002364" "0.0654282826295966" "0.01016618414384" "0.0279256301558456" "0.00337629021282629" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0"
"FW4" "-0.0757871595344403" "0.108620869233289" "-0.0187932942938003" "0.586159294750827" "-0.106665071615446" "-0.0521741616034223" "0.00678065099080296" "-0.0278249791291667" "-0.081189428370964" "-0.0201971409365265" "0.0991295200022418" "0.0339826546451799" "0.0907654143033434" "0.0986408862718577" "0.0669312046196008" "0.0350457656270657" "-0.0932456505555912" "0.0246767482612113" "-0.0135894393702606" "0.0551562540555545" "0.00657655984858302" "-0.0581923221386894" "-0.0271705344978802" "0.019542548496261" "1" "0.218891031203124" "0.207510033191679" "0.275810717676857" "0.382116579348695" "0.179835659855888" "0.157330528154572" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0"
"FW8" "-0.0160624612185397" "0.175079902605844" "0.0698252822368683" "0.590375191176813" "-0.0696099359366951" "-0.0458933704747075" "0.028142103310122" "0.0400036965982464" "-0.00892022859479042" "0.0389248616465401" "0.0737719315660273" "0.0849341344960169" "0.206630771777842" "0.132809206630325" "0.118448246887232" "0.00298884170250894" "0.0213928274485377" "0.0977403693527706" "-0.00464132592678332" "0.0481603220071396" "0.089539970989988" "-0.00187263703052761" "-5.17278136446346e-05" "0.0615161286443845" "0.218891031203124" "1" "0.247504738080176" "0.306138727665058" "0.248594474425258" "0.278320710667832" "0.186392029084214" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0"
"FW12" "0.00346731995149948" "0.0559996318172966" "0.0830549107104357" "0.586160765550358" "-0.00403323735862395" "-0.117252144332493" "0.0639057841114979" "0.0477798829647116" "0.0164847130686066" "-0.0738083505561945" "0.102490493773676" "-0.0884557560812635" "0.12555217208982" "0.152140480262476" "0.033867343261496" "-0.0517609875195667" "-0.0187548230152313" "0.0472400893850829" "0.074289198055814" "0.130637476330436" "0.125268297296814" "-0.0256898477085194" "0.0718517435932738" "-0.0113198572002364" "0.207510033191679" "0.247504738080176" "1" "0.210083829131948" "0.26545708673915" "0.225714152594008" "0.311439503811048" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0"
"FW16" "0.0439052886787918" "0.127025417814232" "0.111747973672084" "0.658152430363922" "-0.00607301090464836" "0.0255845616414352" "0.0764847931392783" "-0.0138620801527817" "0.0692111709900991" "0.0239266342821461" "0.0636138615278389" "0.036652172604495" "0.112620444130073" "0.116560829776576" "0.0827768632484821" "0.0388285282916091" "-0.00581759540472862" "0.141602741462648" "-0.006957962925835" "0.136987721359127" "0.0726224631947546" "0.0666821130794557" "0.0487149332781586" "0.0654282826295966" "0.275810717676857" "0.306138727665058" "0.210083829131948" "1" "0.325068338112504" "0.460619743139887" "0.170593135546581" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0"
"FW21" "-0.0877843162093862" "0.0702156188925452" "0.0715496826002546" "0.637719980914369" "-0.115731950942167" "-0.0552946100766115" "-0.0255295149318609" "-0.056407041004418" "-0.0518906566048593" "-0.052356223362724" "0.12365760885136" "-0.0303268138744893" "0.0467180676788644" "0.0998235862034502" "0.0362908797809917" "0.0311734502770792" "-0.0278322976236063" "0.0538215584746615" "0.0307780706719297" "0.147473595737472" "0.0921761537678561" "-0.0111117982660856" "0.0432751750101218" "0.01016618414384" "0.382116579348695" "0.248594474425258" "0.26545708673915" "0.325068338112504" "1" "0.245495541317829" "0.160991724483291" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0"
"FW23" "0.0341851026210374" "0.15690701334267" "0.0987302176042115" "0.60356761988942" "-0.013788255486157" "-0.00880331178297303" "0.0263682439949628" "0.0533352280197882" "0.0592622097781482" "0.0598174827623408" "-0.000656943307519727" "0.0856618220698571" "0.163333929567299" "0.148744575378852" "0.077284109396142" "0.0575407638866633" "0.052807201992156" "0.12016766509271" "0.0461027775348234" "0.100641709006639" "0.0551890974197279" "0.0161354291600568" "0.0277208511056947" "0.0279256301558456" "0.179835659855888" "0.278320710667832" "0.225714152594008" "0.460619743139887" "0.245495541317829" "1" "0.18070695549635" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0"
"FW26" "0.0665810467908472" "0.106981811265836" "0.0889475791551073" "0.519115063698482" "0.0805380956450748" "-0.0472267779133215" "0.0248923629224609" "0.0810108210464881" "0.0859576060822878" "0.00381446464270793" "0.0417534202852465" "-0.0295401086536822" "0.141231839278875" "0.100078460688918" "0.0901513468729879" "0.0507725927915747" "0.0433962090947752" "0.0605394180004039" "0.0576708519723555" "0.0903653140871324" "0.071983105252337" "0.0380158597931478" "0.0471705656058974" "0.00337629021282629" "0.157330528154572" "0.186392029084214" "0.311439503811048" "0.170593135546581" "0.160991724483291" "0.18070695549635" "1" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1"
