"lhs" "op" "rhs" "est.std" "se" "z" "pvalue" "ci.lower" "ci.upper"
"45" "UP20" "~~" "UP20" 0.916525003102254 0.0165136037992546 55.5012106529784 0 0.884158934400752 0.948891071803757
"46" "UP25" "~~" "UP25" 0.860040306540918 0.0203613998226522 42.2387612851705 0 0.8201326962137 0.899947916868136
"47" "UP27" "~~" "UP27" 0.664969188196757 0.026394677203232 25.1933063275095 0 0.613236571494862 0.716701804898653
"48" "FW4" "~~" "FW4" 0.819752896821022 0.0230841419889775 35.511516833177 0 0.774508809908617 0.864996983733427
"49" "FW8" "~~" "FW8" 0.637243291518437 0.0284417866327079 22.4051779780111 0 0.581498414062357 0.692988168974518
"50" "FW12" "~~" "FW12" 0.751141061853354 0.0256653129042318 29.2667798228753 0 0.700837972909109 0.8014441507976
"51" "FW16" "~~" "FW16" 0.597491700353453 0.0291788502657288 20.47687605619 0 0.540302204722338 0.654681195984568
"52" "FW21" "~~" "FW21" 0.782611545329691 0.0246008588484214 31.8123668019789 0 0.734394747998032 0.83082834266135
"53" "FW23" "~~" "FW23" 0.797530902536866 0.0240294961739495 33.1896639348383 0 0.750433955469282 0.84462784960445
"54" "FW26" "~~" "FW26" 0.913375492583094 0.017256608442873 52.9290269062297 0 0.879553161539753 0.947197823626435
"55" "FD" "~~" "FD" 1 0 NA NA 1 1
"56" "SD" "~~" "SD" 1 0 NA NA 1 1
"57" "UP" "~~" "UP" 1 0 NA NA 1 1
"58" "FW" "~~" "FW" 1 0 NA NA 1 1
"59" "FD" "~~" "SD" 0.582275346602389 0.0279924485100739 20.8011580835038 0 0.527411155683552 0.637139537521226
"60" "FD" "~~" "UP" 0.275816675643245 0.0325185600404528 8.48182315884011 0 0.212081469134854 0.339551882151636
"61" "FD" "~~" "FW" -0.00518178358299675 0.0352714431800251 -0.146911583871093 0.883201808528141 -0.0743125418985969 0.0639489747326034
"62" "SD" "~~" "UP" 0.242665148420263 0.036156208012579 6.71157628963297 1.92532656484445e-11 0.17180028289807 0.313530013942457
"63" "SD" "~~" "FW" 0.191777350169393 0.0376109388691864 5.09897800840358 3.41492219613215e-07 0.11806126456105 0.265493435777736
"64" "UP" "~~" "FW" 0.335167588758864 0.0339059255531947 9.88522163280934 0 0.268713195812106 0.401621981705622
