"NO","gender","age","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27"
5.2,2,21,4,4,4,4,4,4,5,3,4,5,5,5,5,3,4,3,3,5,4,4,5,5,4,3,4,2,4
5.2,1,30,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5
5.2,1,32,1,3,1,5,2,1,5,5,1,2,2,5,2,2,2,5,2,2,3,1,5,4,5,2,5,4,4
5.2,2,22,4,2,2,3,2,3,4,5,3,2,5,2,2,2,4,3,4,3,2,5,5,2,4,5,3,5,4
5.2,2,31,2,4,1,4,1,4,4,4,1,4,4,4,4,4,4,5,1,4,4,1,5,3,5,2,1,4,4
5.2,2,32,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,2,4,2,4,4,4,4,4,4,4,4,4
5.2,2,32,2,4,2,4,2,2,4,4,2,4,3,4,2,4,4,4,2,3,3,2,4,4,3,4,4,4,4
5.2,1,23,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3
5.2,1,34,1,4,3,5,2,2,3,2,1,3,1,5,1,4,3,5,1,3,2,3,5,5,4,5,2,4,5
5.2,2,22,4,3,4,2,3,3,2,2,2,4,2,3,4,2,2,4,3,2,4,3,3,2,2,4,4,4,2
5.2,1,31,2,3,3,4,3,2,5,4,2,2,3,4,4,2,4,4,2,2,4,3,4,4,3,3,3,4,5
5.2,1,27,4,4,3,4,3,2,4,5,4,1,3,5,4,4,4,5,4,4,4,4,4,2,4,5,4,4,4
5.2,1,40,3,4,4,3,4,2,5,4,4,2,3,4,2,2,4,4,4,2,2,4,4,4,2,4,4,4,4
5.2,2,31,2,2,2,4,2,2,4,4,2,2,3,4,2,3,4,5,2,2,4,4,4,2,4,3,3,4,3
5.2,1,24,3,3,3,2,2,2,3,3,3,4,3,4,3,2,4,2,3,4,3,2,1,3,2,3,2,4,2
5.2,1,35,1,3,5,5,1,3,3,5,1,1,3,4,1,2,2,5,1,3,3,3,5,2,5,1,3,2,3
5.2,2,24,5,5,5,5,1,5,5,5,5,1,5,5,1,5,5,2,5,5,5,1,5,1,1,5,1,5,3
5.2,2,31,2,3,3,4,3,2,5,5,3,2,5,2,2,3,5,4,2,4,5,4,4,4,3,4,4,3,5
5.2,2,25,1,1,1,5,2,2,4,5,2,2,4,5,2,2,4,4,1,2,3,2,5,1,4,2,4,4,4
5.2,2,30,2,3,3,4,2,2,3,5,2,1,3,3,2,4,4,4,2,3,3,1,5,3,3,4,3,3,3
5.2,2,29,1,3,5,4,1,2,4,4,1,3,3,4,1,3,3,3,1,4,2,1,4,3,4,4,4,4,4
5.2,1,31,5,4,5,4,2,2,2,4,2,2,4,4,3,3,4,4,4,4,5,4,4,4,3,5,2,5,4
5.2,1,32,3,3,3,4,1,4,4,5,3,3,3,4,2,3,3,5,3,4,3,3,4,2,4,4,3,4,3
5.2,2,58,4,4,4,5,4,4,5,5,4,4,5,4,4,4,5,5,4,4,4,4,4,4,4,2,4,4,4
5.2,1,30,5,4,5,4,4,5,4,4,4,4,4,5,3,4,4,5,4,4,5,4,5,5,4,4,4,4,4
5.2,1,38,3,3,3,4,2,4,4,4,3,2,3,4,3,3,4,4,3,3,4,4,4,4,4,4,3,4,3
5.2,1,30,1,3,2,4,1,3,4,4,1,2,3,4,1,4,3,4,1,3,2,3,5,2,4,3,3,4,3
5.2,2,22,4,4,4,2,4,2,2,2,4,2,4,4,2,4,2,4,4,2,2,4,4,4,4,2,2,4,4
5.2,1,43,1,2,1,5,1,3,4,5,1,1,1,5,1,3,5,5,1,2,1,1,4,2,5,1,1,4,5
5.2,2,47,2,2,2,5,1,1,5,5,2,1,3,5,2,2,4,5,2,1,4,1,2,4,2,1,1,4,3
5.2,1,23,4,2,4,2,4,2,4,2,3,2,4,2,3,4,4,2,2,4,4,4,2,2,2,4,4,2,4
5.2,1,62,1,4,2,4,2,3,3,4,2,4,3,3,2,3,3,4,2,3,3,3,4,4,4,3,3,4,3
5.2,1,39,2,2,2,4,2,3,3,4,2,2,2,3,2,2,3,4,2,2,2,2,4,3,4,3,2,4,3
5.2,1,29,1,4,3,2,1,1,5,4,1,2,5,2,2,3,4,3,4,1,4,3,4,2,2,3,3,2,4
5.2,1,39,3,4,1,1,2,5,4,5,2,2,2,2,3,3,2,5,2,4,1,2,1,4,5,2,1,2,5
5.2,1,42,1,4,4,2,2,4,4,3,3,4,4,2,3,3,4,3,1,4,4,5,4,4,1,5,4,3,4
5.2,1,22,3,4,3,4,3,4,2,4,3,4,3,3,4,3,3,3,4,4,3,2,4,3,3,4,3,5,4
5.2,1,32,1,3,4,4,2,2,4,3,2,1,3,3,2,3,3,3,3,3,4,5,3,1,2,3,3,2,4
5.2,2,53,2,2,2,4,2,2,4,4,2,2,3,4,2,2,4,4,2,3,3,2,4,2,4,2,2,4,4
5.2,2,42,2,2,2,4,2,2,2,4,2,2,2,4,2,4,2,4,2,2,2,2,4,4,4,2,4,4,4
5.2,2,27,1,2,3,3,1,2,3,5,1,1,3,3,1,3,4,4,1,2,3,3,4,2,3,2,4,4,4
5.2,1,31,1,4,1,4,1,3,1,4,1,2,1,4,1,4,4,3,1,3,1,1,5,3,4,3,1,3,2
5.2,1,24,3,3,3,4,4,3,3,3,3,3,3,4,4,3,3,4,4,4,4,3,4,4,3,4,3,3,4
5.2,2,65,1,4,1,5,2,4,5,5,1,2,5,5,1,4,5,5,1,2,2,5,5,4,5,4,1,2,5
5.2,1,35,1,2,4,1,3,5,3,4,1,1,4,2,3,5,4,2,2,5,4,5,1,3,2,5,5,2,4
5.2,2,36,3,3,3,4,3,2,4,5,3,3,4,4,3,4,4,4,3,4,4,4,4,3,4,3,4,4,4
5.2,2,55,4,4,2,5,4,5,3,4,4,3,3,3,3,3,4,5,3,5,4,4,4,4,5,4,4,3,4
5.2,1,30,2,3,3,4,2,2,5,4,3,2,5,4,3,4,5,4,2,3,4,3,4,4,3,2,4,4,5
5.2,2,30,2,3,4,4,2,3,4,4,2,2,4,4,4,4,5,4,4,2,2,3,4,3,4,3,4,4,4
5.2,1,27,2,3,3,4,2,2,5,4,2,3,5,4,2,3,5,3,3,4,3,3,5,3,3,3,3,4,4
5.2,1,46,3,2,2,3,2,1,3,5,2,2,2,4,2,3,2,4,2,2,2,1,5,3,3,4,1,3,2
5.2,2,60,4,2,4,4,1,1,5,5,4,3,5,5,2,3,4,5,4,4,4,2,4,5,4,3,3,4,3
5.2,1,27,1,1,1,5,1,1,5,5,1,1,5,5,1,1,5,5,1,3,5,1,5,1,5,1,5,5,5
5.2,1,33,3,5,2,3,2,1,4,4,3,3,4,2,3,4,4,4,1,4,3,2,3,2,2,2,1,2,3
5.2,2,38,2,2,1,5,2,1,5,5,2,1,4,5,2,5,5,5,1,2,4,1,5,4,5,4,2,5,5
5.2,2,26,2,1,1,5,2,2,4,4,1,1,5,5,1,2,3,5,1,2,5,1,5,2,4,3,5,5,4
5.2,2,47,1,1,3,4,3,1,5,4,1,1,5,4,2,1,3,3,3,3,3,4,4,1,2,3,4,3,5
5.2,1,31,1,1,1,5,1,1,5,5,1,1,1,5,1,1,5,5,1,1,3,1,5,1,5,1,1,5,5
5.2,3,26,2,4,2,3,3,2,3,4,3,3,2,3,2,4,3,3,3,4,2,3,2,4,3,4,2,2,3
5.2,1,47,1,1,2,4,1,1,4,5,1,1,3,5,1,2,4,5,1,2,3,2,4,1,4,1,2,4,3
5.2,1,28,3,3,2,2,2,2,4,3,3,2,3,3,2,3,3,2,2,3,3,2,4,3,3,3,3,2,5
5.2,2,54,4,2,4,4,2,3,5,5,4,2,4,4,4,3,4,5,4,4,4,3,4,3,4,4,3,3,5
5.2,2,64,1,3,2,3,2,3,3,3,1,3,3,4,1,3,4,2,1,4,2,3,2,1,3,2,3,3,4
5.2,1,23,3,4,3,3,3,4,4,4,4,2,2,4,3,3,4,3,3,3,3,3,3,4,4,3,4,3,3
5.2,1,34,1,1,1,5,5,1,5,5,1,1,1,5,1,1,5,5,1,1,5,1,5,1,5,1,5,5,5
5.2,1,40,5,2,2,4,3,3,3,5,5,3,3,5,5,4,4,5,5,5,4,2,2,1,5,5,1,5,3
5.2,1,35,1,3,4,3,2,4,4,3,1,4,4,2,1,4,4,2,1,3,4,4,2,3,2,4,4,2,4
5.2,2,26,4,3,3,3,4,3,4,4,3,4,3,2,2,4,4,4,3,3,2,2,4,3,2,2,4,3,4
5.2,2,30,3,2,2,4,2,3,4,4,3,3,4,4,2,4,4,4,2,4,4,3,4,3,4,2,4,4,4
5.2,1,33,1,4,1,5,2,2,4,5,1,2,5,5,1,5,4,5,1,4,5,2,4,2,4,4,1,5,5
5.2,1,28,1,2,4,4,1,2,5,5,2,1,5,5,1,2,5,5,1,2,5,2,5,5,5,4,4,5,5
5.2,1,27,2,2,4,4,3,2,2,3,2,2,4,3,2,2,4,4,3,3,4,3,2,3,2,3,2,4,3
5.2,1,38,3,4,3,3,3,2,3,4,1,3,4,3,5,3,4,4,2,4,3,3,4,2,3,4,4,4,4
5.2,2,33,3,4,4,4,2,2,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,4
5.2,1,34,1,2,2,5,2,2,4,4,2,1,3,5,1,2,4,5,1,2,2,3,4,3,4,2,2,4,3
5.2,2,25,1,4,2,4,1,2,2,4,1,1,4,2,1,2,2,4,1,2,1,5,4,2,2,4,4,4,4
5.2,1,24,1,2,2,5,2,4,4,3,1,2,3,5,2,4,4,4,1,1,5,2,4,4,2,4,3,2,5
5.2,1,23,1,1,5,5,1,1,5,5,1,5,5,5,1,4,5,5,1,3,5,5,5,2,5,2,5,5,5
5.2,2,22,1,2,4,3,2,4,5,4,1,2,4,2,2,5,5,4,1,5,4,5,3,5,3,4,5,4,5
5.2,1,48,1,3,1,5,1,3,4,5,1,1,2,5,1,3,3,4,3,4,1,4,5,3,2,3,5,3,3
5.2,2,32,1,1,1,5,1,5,2,5,1,1,2,5,1,2,4,4,1,2,2,2,3,3,3,2,1,5,2
5.2,1,27,1,4,3,5,1,5,5,4,1,2,5,5,1,5,1,4,1,3,3,3,5,4,5,4,2,5,4
5.2,2,34,1,4,4,4,2,1,4,4,2,1,5,5,2,2,2,4,4,4,4,4,5,2,4,4,4,4,4
5.2,1,24,1,3,4,3,2,3,4,3,4,4,4,3,3,4,4,5,5,4,3,3,4,4,5,4,4,5,4
5.2,2,30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5.2,1,31,2,2,2,4,1,2,5,4,2,1,4,4,1,2,4,4,1,5,2,4,5,4,4,4,2,5,5
5.2,1,50,1,3,4,2,3,3,4,2,1,1,4,1,3,3,4,4,1,3,4,5,4,4,2,4,4,3,4
5.2,1,34,5,5,2,4,4,3,2,5,4,5,2,3,4,2,3,5,4,5,2,2,1,2,5,2,3,3,2
5.2,2,33,2,3,1,4,2,2,4,4,2,2,3,4,2,4,3,5,2,4,4,4,3,3,4,3,3,4,4
5.2,2,31,2,2,3,4,3,2,4,4,2,1,4,4,2,2,3,4,2,2,3,4,4,2,4,1,4,4,4
5.2,1,26,3,3,4,4,1,5,3,4,4,3,4,4,3,4,5,5,4,5,4,4,5,3,4,4,5,4,2
5.2,1,30,1,1,2,5,1,3,5,5,1,1,2,5,1,3,4,4,1,2,3,2,5,1,3,1,1,5,5
5.2,1,27,1,4,3,5,3,2,5,4,1,3,1,4,2,3,5,2,1,2,3,3,5,1,5,3,4,1,5
5.2,1,29,1,4,2,4,2,1,4,3,1,2,3,3,2,2,4,2,2,4,2,4,2,2,2,2,3,4,2
5.2,1,29,2,5,3,2,2,3,3,4,2,5,5,1,2,4,3,3,2,5,4,3,1,4,2,4,4,2,3
5.2,2,35,1,4,2,4,1,2,2,5,2,4,1,5,1,5,2,5,1,5,1,2,4,5,4,5,2,2,2
5.2,2,34,4,2,2,4,1,2,2,5,2,1,1,4,1,4,4,5,1,2,2,2,5,2,5,4,2,5,3
5.2,2,46,1,3,2,5,1,4,5,5,1,2,2,5,2,4,4,4,2,3,2,2,5,3,4,2,2,5,4
5.2,1,31,1,3,3,5,2,4,3,5,1,2,4,5,2,4,4,5,3,3,3,2,4,4,3,5,2,4,4
5.2,1,29,1,2,5,5,4,3,2,4,3,3,3,4,1,3,4,3,4,5,1,3,5,2,5,4,1,5,5
5.2,1,30,3,3,3,2,2,4,2,2,2,3,3,4,3,4,3,3,4,4,2,3,4,3,2,2,2,4,3
5.2,2,31,2,2,2,3,2,2,4,3,2,2,2,2,2,2,4,4,2,2,3,3,3,2,3,3,2,4,4
5.2,2,30,4,3,3,4,2,4,4,4,4,2,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4
5.2,1,22,4,3,3,5,3,3,4,4,3,2,3,5,2,4,4,4,3,3,2,3,3,2,4,3,3,4,4
5.2,2,22,1,3,3,4,1,4,5,5,1,3,3,4,1,5,2,4,1,2,2,1,5,3,4,1,2,4,4
5.2,2,22,3,3,3,4,3,4,5,4,3,3,5,4,3,3,5,5,3,3,5,4,3,5,3,4,4,5,5
5.2,2,38,2,2,2,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,3,2,4,2,4,3,2,5,4
5.2,1,29,4,3,3,3,4,3,4,5,4,3,4,3,3,4,4,5,2,4,3,3,2,3,4,4,3,4,4
5.2,2,55,1,2,3,2,1,1,5,1,1,1,3,3,1,4,3,1,1,4,3,3,3,3,1,3,3,3,4
5.2,1,55,2,3,4,2,2,2,4,4,1,2,3,2,2,4,2,2,2,4,2,3,2,4,2,4,4,1,4
5.2,2,29,5,5,3,5,1,5,1,1,3,5,1,5,3,5,1,5,3,5,1,1,5,5,5,5,1,5,1
5.2,1,46,2,3,3,5,1,2,5,4,2,2,3,3,1,4,4,5,2,3,4,2,5,2,4,4,3,5,4
5.2,2,42,2,3,2,4,3,2,4,4,2,2,3,4,2,2,3,3,3,4,4,3,3,2,4,2,4,4,3
5.2,2,56,1,4,2,4,2,1,5,5,1,1,4,4,1,2,5,4,3,1,5,1,4,2,4,1,2,4,4
5.2,2,35,2,4,2,4,2,2,4,5,2,3,2,4,2,3,4,3,2,3,3,2,4,3,4,2,2,4,4
5.2,2,25,2,2,3,4,2,1,4,4,2,1,4,5,2,3,2,2,4,2,4,3,5,1,2,2,2,4,4
5.2,2,26,4,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,5,3,5,3,3,3
5.2,1,36,4,3,3,4,4,4,3,5,4,5,3,4,5,4,4,4,5,5,5,5,5,3,4,3,3,4,4
5.2,2,29,5,5,4,4,1,4,2,5,3,4,3,4,2,4,4,4,3,4,2,4,4,5,3,5,3,5,2
5.2,1,35,5,1,1,5,5,1,1,5,5,1,1,5,5,1,5,5,5,1,1,1,5,5,5,5,5,5,1
5.2,1,24,1,3,2,3,1,1,4,4,1,2,4,4,1,4,5,4,3,3,4,4,3,1,4,4,4,4,5
5.2,2,45,2,3,4,4,2,3,3,4,2,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,3,4,2
5.2,3,31,1,5,5,1,3,3,3,2,3,5,3,1,3,3,5,2,3,1,5,5,2,3,2,5,5,1,3
5.2,1,29,4,4,4,5,4,5,3,4,4,5,4,4,5,2,4,4,3,4,3,4,5,4,2,5,3,5,3
5.2,1,25,1,4,3,5,2,2,4,5,1,2,4,4,2,2,4,5,2,4,2,3,5,3,5,3,4,4,4
5.2,1,46,3,3,4,2,4,2,4,4,4,3,4,2,4,3,4,3,4,2,4,4,3,3,4,3,4,2,4
5.2,2,44,2,2,2,2,2,2,3,4,2,2,2,3,2,3,3,2,2,2,2,2,2,4,2,4,2,4,3
5.2,1,37,2,4,2,4,2,4,4,5,2,2,2,4,2,2,4,5,2,4,4,2,4,2,4,2,4,5,2
5.2,1,28,1,4,4,1,1,5,5,4,1,2,5,1,1,5,5,2,1,4,5,5,1,2,2,2,5,1,4
5.2,1,36,1,4,1,5,1,1,5,5,1,3,5,5,1,4,5,5,1,5,4,3,5,4,5,4,1,5,3
5.2,1,66,2,1,1,4,1,1,4,4,1,1,2,4,1,3,4,4,1,3,2,1,4,2,4,3,2,3,3
5.2,1,27,2,4,3,3,3,2,4,4,2,3,3,3,2,3,3,4,3,4,3,4,2,4,4,3,3,3,4
5.2,1,30,3,3,2,2,2,2,4,3,2,4,3,2,3,3,3,4,3,3,2,4,4,4,2,3,3,4,3
5.2,1,38,2,4,2,4,2,2,2,2,3,2,2,3,2,4,1,2,2,2,1,2,4,4,2,4,3,3,2
5.2,1,31,2,4,3,4,2,2,2,2,4,4,3,4,2,4,4,4,4,4,3,2,4,4,4,2,4,2,4
5.2,1,36,2,4,3,4,2,1,4,4,3,4,4,4,3,3,4,4,3,3,3,5,3,3,2,2,4,4,4
5.2,2,57,2,4,3,4,2,1,5,4,2,3,4,3,2,4,5,1,4,2,4,4,4,4,2,5,4,2,4
5.2,1,NA,1,2,3,4,1,2,4,3,1,1,3,3,1,3,4,2,3,3,3,3,3,2,2,3,3,3,4
5.2,2,27,3,3,5,3,4,4,3,5,4,2,4,4,2,3,5,3,4,4,4,2,5,2,4,3,5,5,4
5.2,2,25,3,3,3,4,1,3,5,4,3,3,4,5,3,3,4,3,3,2,3,3,3,2,4,1,3,3,3
5.2,1,24,2,4,2,2,2,2,4,4,2,2,4,2,2,4,4,4,2,2,4,4,2,2,2,4,4,2,4
5.2,1,22,4,4,4,3,4,4,3,4,2,2,4,4,4,3,3,3,3,3,3,2,4,4,4,3,4,2,3
5.2,1,26,1,1,4,5,1,4,5,5,1,1,5,5,1,5,4,5,1,1,5,2,5,2,5,4,2,5,5
5.2,1,29,1,2,1,4,1,2,1,4,1,2,1,4,1,2,2,4,1,2,2,2,4,2,4,2,2,4,2
5.3,1,25,2,2,2,5,2,1,4,5,3,2,2,4,2,2,5,4,3,3,2,3,5,4,5,4,2,5,3
5.3,1,24,1,3,5,4,1,1,5,5,1,3,3,2,4,4,4,5,1,3,4,3,5,3,4,4,2,4,4
5.3,2,52,4,4,5,4,2,2,5,4,2,2,4,4,3,3,4,4,2,2,2,3,4,4,4,4,2,3,4
5.3,1,30,1,1,1,3,1,5,5,5,1,1,3,5,1,5,3,4,1,5,2,1,3,3,4,5,2,5,5
5.3,2,63,2,5,5,4,1,4,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5
5.3,2,28,4,4,2,4,2,1,4,5,4,3,4,3,4,4,4,5,4,3,2,2,2,5,5,4,2,4,3
5.3,1,22,4,2,4,4,2,2,4,4,4,2,4,4,2,3,4,4,3,4,2,2,2,3,2,4,2,4,2
5.3,2,23,1,3,3,4,1,2,3,4,1,1,2,3,1,4,2,4,1,2,2,1,4,2,5,3,2,3,2
5.3,1,22,3,2,3,4,4,2,3,3,3,4,4,2,3,3,3,2,2,3,4,4,3,3,4,2,3,3,3
5.3,2,26,1,4,2,4,3,5,2,5,2,4,1,5,1,4,4,5,2,4,5,1,5,3,5,1,2,5,5
5.3,1,18,1,5,4,2,1,4,4,4,1,4,1,2,1,5,4,2,1,3,1,1,1,2,1,3,1,4,4
5.3,1,40,4,4,2,2,3,2,4,5,3,3,4,4,3,3,2,4,4,4,3,4,3,4,4,4,3,4,3
5.3,2,33,2,4,3,4,2,4,4,5,2,4,4,4,2,3,4,4,3,4,4,2,3,4,4,2,2,4,4
5.3,2,53,2,4,2,2,1,1,4,5,3,2,2,5,1,3,4,5,4,3,2,2,3,2,4,2,1,4,4
5.3,2,40,2,3,4,3,4,3,3,3,3,3,3,3,2,3,4,4,3,3,3,3,3,3,4,3,3,3,3
5.3,2,18,2,4,2,2,2,4,5,3,4,3,5,2,2,4,4,3,4,5,4,5,3,5,4,5,3,3,2
5.3,1,28,2,4,3,4,2,2,4,4,2,3,3,2,2,4,4,3,4,3,3,4,3,3,4,3,2,3,4
5.3,2,25,4,5,2,4,2,3,4,5,4,4,4,3,3,2,5,5,2,3,4,1,2,4,4,5,4,4,4
5.3,2,60,2,3,3,4,4,3,2,3,4,3,4,3,4,4,3,2,3,3,2,3,4,4,4,3,2,2,4
5.3,1,45,2,3,2,1,2,2,2,3,2,3,4,2,3,3,4,3,2,3,2,2,2,3,2,3,3,2,2
5.3,2,31,1,3,2,4,2,1,3,5,1,2,1,2,1,1,4,4,3,1,1,2,5,4,5,3,1,4,5
5.3,1,44,2,3,3,4,2,2,4,4,2,3,3,4,2,3,4,5,2,4,3,2,4,4,5,3,2,4,3
5.3,2,45,1,3,3,5,1,1,3,5,3,3,2,5,1,5,3,5,3,3,1,3,3,5,3,5,3,5,2
5.3,2,24,3,2,5,2,3,1,4,2,3,1,4,2,4,4,4,1,2,1,3,4,2,4,1,4,3,1,5
5.3,1,34,1,4,2,4,2,3,4,4,2,2,2,5,2,3,2,4,2,4,2,2,4,4,4,4,2,4,4
5.3,2,32,3,3,4,5,3,3,4,5,3,1,3,4,3,1,5,5,3,4,3,3,5,1,5,1,3,5,4
5.3,1,26,1,3,2,4,1,4,3,5,1,2,1,1,1,4,3,5,1,1,2,3,4,3,5,2,2,4,2
5.3,2,31,4,3,2,1,5,1,1,2,5,3,1,1,1,1,4,1,5,1,1,4,2,2,5,1,2,2,5
5.3,1,34,2,2,3,5,2,2,3,5,2,1,3,4,2,2,3,5,2,2,3,3,4,3,4,2,2,4,3
5.3,2,40,2,2,4,3,2,2,5,5,1,2,3,4,2,3,4,4,2,2,4,3,3,3,3,4,2,4,4
5.3,1,24,1,4,5,5,1,4,3,5,1,2,2,4,1,4,2,5,1,3,3,3,4,4,4,3,2,4,2
5.3,2,37,1,4,4,4,1,2,5,4,1,2,4,4,2,2,4,4,1,3,4,4,4,2,4,3,3,4,5
5.3,2,29,3,4,5,3,2,3,2,4,3,3,4,2,3,2,5,5,3,2,3,2,3,2,3,4,3,3,3
5.3,2,35,3,4,4,4,3,3,4,4,3,2,4,3,3,4,4,5,3,4,4,3,3,3,3,4,3,3,4
5.3,2,23,1,3,5,4,1,1,4,5,1,2,4,5,3,5,3,2,1,3,2,4,4,4,4,4,2,4,4
5.3,2,53,1,3,4,5,1,2,1,5,1,1,3,5,1,1,5,5,2,3,5,2,5,2,5,2,1,5,4
5.3,1,26,1,3,4,5,1,1,4,5,1,2,4,5,4,4,4,2,2,4,2,4,5,1,5,3,4,3,3
5.3,1,40,1,4,3,4,1,4,5,5,1,4,4,4,2,4,4,4,1,4,4,1,4,3,4,2,1,4,4
5.3,2,20,3,1,1,3,2,1,5,5,3,1,1,2,3,1,5,5,4,1,1,1,3,1,5,1,1,4,3
5.3,2,33,1,3,4,5,1,3,5,5,1,3,5,4,4,3,5,4,1,2,4,4,5,4,4,4,4,4,5
5.3,2,43,2,5,2,4,2,2,4,4,2,3,4,4,4,3,4,4,2,3,2,2,2,4,3,2,2,3,4
5.3,2,45,3,4,4,2,3,2,5,3,3,4,4,2,5,5,4,3,5,4,3,5,3,4,3,4,5,4,5
5.3,1,31,1,4,5,3,1,2,5,2,1,4,5,1,2,4,4,2,1,3,5,3,3,1,1,1,5,2,5
5.3,2,30,3,4,3,2,2,2,5,3,2,3,4,3,3,3,4,3,3,5,3,4,3,3,1,3,3,1,3
5.3,2,44,3,1,1,1,1,1,2,4,3,1,1,4,1,1,5,4,5,1,1,1,4,5,2,5,1,4,1
5.3,2,31,2,4,4,4,1,1,5,5,2,2,4,4,3,4,5,5,4,2,5,3,3,4,4,1,4,4,5
5.3,1,23,2,5,5,2,4,4,5,3,2,5,5,3,4,5,3,4,2,4,4,5,2,5,4,5,5,4,2
5.3,2,22,3,4,3,2,2,3,2,4,2,3,5,4,2,4,4,4,3,4,3,3,2,4,4,3,2,4,3
5.3,2,33,4,2,3,5,5,1,5,5,5,2,2,5,4,4,4,5,3,5,3,1,5,2,5,2,2,5,5
5.3,2,25,1,2,4,1,1,1,3,2,1,1,3,2,1,1,5,3,1,1,1,5,4,1,2,3,2,2,2
5.3,1,25,2,3,1,2,2,1,5,5,2,3,4,3,2,3,4,5,1,2,2,3,2,3,3,3,2,2,3
5.3,1,24,2,4,2,5,1,2,4,4,2,3,4,2,2,3,4,4,2,4,3,4,4,3,4,3,4,3,4
5.3,1,20,1,4,3,5,1,5,4,4,1,2,3,4,4,4,4,3,1,4,4,1,4,4,3,4,3,3,5
5.3,1,34,1,5,5,5,1,4,5,5,1,3,4,4,1,4,5,5,1,3,5,5,5,3,5,2,3,3,5
5.3,1,21,2,4,4,2,2,1,5,3,2,4,4,4,2,4,4,3,2,4,4,4,1,4,2,2,4,4,5
5.3,1,21,1,4,3,4,2,3,5,5,1,4,4,4,2,4,4,4,1,3,4,1,3,3,4,4,3,4,4
5.3,2,34,3,4,4,4,2,2,4,4,4,4,5,5,2,4,4,4,4,3,4,4,4,3,4,4,3,2,4
5.3,2,47,2,3,3,4,2,2,4,4,2,2,4,3,3,4,4,4,3,2,3,3,3,3,3,4,4,4,5
5.3,1,27,1,4,2,3,2,3,3,5,2,3,4,4,2,3,4,5,2,2,3,3,3,4,5,4,2,4,5
5.3,1,36,1,4,3,1,1,1,4,3,1,3,2,2,1,1,3,1,2,2,1,3,4,3,1,2,3,1,4
5.3,1,27,3,3,2,5,1,1,3,5,3,3,3,5,3,3,2,4,5,3,3,3,5,4,5,3,2,5,5
5.3,2,20,4,3,3,4,2,4,3,3,5,3,5,4,3,4,5,4,5,3,3,4,5,2,4,2,4,2,3
5.3,1,18,3,5,5,3,2,2,4,3,1,2,2,4,1,4,3,1,2,3,3,3,3,4,5,3,2,4,5
5.3,2,23,1,5,2,4,2,4,4,5,1,2,2,4,1,4,4,4,1,4,2,2,3,4,4,4,2,2,3
5.3,2,27,3,4,2,4,3,2,4,5,3,2,3,4,3,4,3,4,4,3,2,2,4,4,2,3,2,4,4
5.3,1,27,1,4,3,2,2,2,3,5,1,3,2,5,2,4,4,5,3,4,2,3,4,4,3,4,3,5,2
5.3,1,30,2,3,2,3,2,1,4,5,2,2,3,4,3,4,4,4,3,3,3,4,4,2,3,2,4,3,5
5.3,1,24,1,3,2,4,1,3,4,4,1,2,2,4,2,5,2,4,2,5,2,4,4,4,4,3,2,4,3
5.3,1,22,2,4,3,3,2,2,2,3,2,2,2,2,3,2,3,3,2,3,2,3,3,2,3,3,2,3,4
5.3,1,26,2,3,3,4,3,1,5,5,2,2,4,3,3,4,4,5,3,1,3,2,4,3,5,3,3,2,5
5.3,1,41,2,4,3,2,2,3,3,4,3,4,3,4,3,3,3,4,2,3,3,3,2,3,4,3,3,3,3
5.3,1,51,1,4,3,4,2,4,5,5,2,3,4,4,2,4,4,5,2,4,2,3,4,4,4,3,2,3,4
5.3,2,42,1,4,3,5,1,3,2,5,1,4,2,4,4,4,2,4,3,2,2,2,4,4,4,5,1,3,4
5.3,2,32,4,3,2,4,3,3,5,4,3,3,4,4,3,2,5,4,4,3,4,2,5,3,3,3,1,4,3
5.3,1,21,2,3,2,4,2,2,4,4,2,2,3,4,2,4,3,3,2,2,3,2,4,4,4,4,2,4,4
5.3,2,25,1,5,4,5,1,3,4,4,1,2,2,3,1,4,3,5,1,4,3,2,5,3,3,4,3,4,4
5.3,2,42,2,4,1,4,2,1,3,5,2,1,2,4,3,3,2,3,3,3,2,2,4,3,4,3,2,5,3
5.3,1,30,1,3,1,4,1,1,5,3,1,4,4,1,1,4,2,2,4,1,3,4,3,3,2,4,3,2,4
5.3,1,43,2,4,3,4,2,1,5,5,2,4,2,3,2,2,4,4,3,3,2,3,4,4,5,2,2,3,4
