"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"UP19" "0.0766422053764035" "0.105615879252904" "0.684565175086862" "0.120755342298535" "0.0056733596112241" "-0.0218586088486607" "0.0920587360990086" "0.0138344974790291" "0.175560837642661" "0.00610511587222333" "-0.111221128636589" "0.0671481282139359" "0.0008570416875266" "0.090823772952673" "0.186351690694281" "0.164065723582175" "0.266441022295095" "0.250076334519911" "0.321882163765589" "0.279340127758456" "1" "0.332172324130666" "0.299877219857158" "0.357659933144672" "0.00583327940481542" "0.0971545664676778" "0.0544305260930542" "0.0473617782978978" "0.0635321667926869" "0.0743390359096615" "0.135264932912542" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP20" "0.240915253882471" "0.192671571130338" "0.50805287004642" "0.0417826462130352" "0.155761115888466" "0.111358182205184" "0.184570092589685" "0.147208790417484" "0.288687266245942" "0.1669653626929" "-0.00162204624428997" "0.184344229799248" "0.032759112623986" "0.0478264586671155" "0.1235204714405" "0.133848965613933" "0.311207905054416" "-0.000193262530457674" "0.201018166574123" "0.144689366926372" "0.332172324130666" "1" "0.196037221112764" "0.133535422292258" "0.00407833008525451" "0.0330176604059723" "-0.0264517218586502" "0.0690197415500731" "0.0575594212959408" "-0.00745992677718824" "0.025999820004341" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP25" "0.183531105412913" "0.168897576350613" "0.440706145692896" "0.0539967220047004" "0.175313280931026" "0.114376839286447" "0.175285711242984" "0.136007722372952" "0.0852020444569468" "0.110753550260126" "0.0840380400198298" "0.165460826623883" "0.0212406355497673" "0.0213755382016583" "0.0575075808098779" "0.132629814725604" "0.230920712565681" "0.0305782951861538" "0.156785127951161" "0.0694695368971896" "0.299877219857158" "0.196037221112764" "1" "0.152398649184553" "0.0646164639684028" "-0.0543941506496458" "-0.0130269293675595" "-0.0228563414581394" "0.178168083277693" "-0.0502340913760362" "0.0932216833989443" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0"
"UP27" "-0.00910505613069599" "-0.112818754175934" "0.621862539125487" "0.159987202122752" "-0.0460120168379149" "-0.0510522498003881" "0.00504558692650951" "-0.0145487114089384" "0.0618943387630032" "-0.0910993042713057" "-0.172738206018395" "-0.0883012898066127" "-0.0639412531419398" "0.000815549759056199" "0.0109862679212531" "0.0266248030792542" "0.0460872872451735" "0.339391173077966" "0.396032755592578" "0.361780406400507" "0.357659933144672" "0.133535422292258" "0.152398649184553" "1" "-0.0719748344006921" "0.123480602855462" "0.103944328333766" "0.0483609900477461" "0.12487858621569" "0.11047975793713" "0.191452349882323" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0"
"FW4" "0.0611496692450549" "0.200602183811382" "0.00375962143729918" "0.490884084772511" "0.0361783433863184" "0.0550507995848376" "0.101774260617097" "0.000630749527004826" "0.0308353440595038" "0.0678777852841118" "0.244197880200349" "0.0719087579269641" "0.097787770897307" "0.0409504852975481" "0.00743060306716788" "0.157412888629049" "0.150669895944038" "-0.0363466836022666" "-0.0407980153184061" "-0.0567910238057299" "0.00583327940481542" "0.00407833008525451" "0.0646164639684028" "-0.0719748344006921" "1" "0.100240449259647" "0.184939230806142" "0.0749514238570147" "0.340938589197727" "0.00371980005950681" "0.200230745394138" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0"
"FW8" "-0.0816438012154487" "0.048708994476671" "0.184872503821137" "0.58834423131716" "-0.0734699185090904" "-0.0982529839150436" "-0.0377713076672992" "-0.0772220468677167" "-0.0306151859689926" "-0.112311752059795" "-0.0296090847404503" "-0.0866922375952122" "0.126102622976238" "0.0477570015753368" "0.108836233893909" "0.140433609461007" "0.0530111705767353" "0.277446957133411" "0.147561628952893" "0.107603608215613" "0.0971545664676778" "0.0330176604059723" "-0.0543941506496458" "0.123480602855462" "0.100240449259647" "1" "0.186999881234871" "0.421782126564619" "0.100201628208571" "0.406058614083085" "0.111177013225906" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0"
"FW12" "-0.25422497894282" "-0.0157375215438273" "0.0689366108442755" "0.578739831837134" "-0.236044550546803" "-0.266170468494775" "-0.186873348632226" "-0.230276108906359" "-0.0590736690626284" "-0.191911926640781" "0.07570776667294" "-0.204066433533477" "0.137633895165472" "0.0847023766080288" "0.0265172620530078" "0.0231611180409639" "-0.118142659426505" "0.116285222398712" "0.104717748955659" "0.0804163075999324" "0.0544305260930542" "-0.0264517218586502" "-0.0130269293675595" "0.103944328333766" "0.184939230806142" "0.186999881234871" "1" "0.146851016557821" "0.229314859078221" "0.175594197503866" "0.303522053915134" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0"
"FW16" "-0.0145914029352814" "0.0898163135051507" "0.110844443819132" "0.599562578366001" "-0.000110907456513648" "-0.0565256480709808" "-0.0180126854954984" "-0.0296750194341261" "0.0376694248018513" "-0.0516339960103201" "0.0136792827390325" "-0.0400859559556087" "0.103610892234536" "0.074620733272919" "0.0968321358223952" "0.134720903539046" "-0.0134786122647976" "0.154342402403439" "0.11545282465082" "0.0776118682446982" "0.0473617782978978" "0.0690197415500731" "-0.0228563414581394" "0.0483609900477461" "0.0749514238570147" "0.421782126564619" "0.146851016557821" "1" "0.10539116830984" "0.44434235377109" "0.163732713392217" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0"
"FW21" "-0.0826532521536565" "0.0602664017789427" "0.125929186176589" "0.551969229649173" "-0.0692845984577474" "-0.0645366148640935" "-0.0490249879317979" "-0.0431853664371298" "-0.0827572291530326" "-0.0451640843722214" "0.110454415416432" "-0.107873376933215" "0.0633629306235588" "0.0931963901238951" "0.0255881262328359" "0.0679546169709009" "0.0423854948009557" "0.02816766724174" "0.025839120009717" "0.0737696187845875" "0.0635321667926869" "0.0575594212959408" "0.178168083277693" "0.12487858621569" "0.340938589197727" "0.100201628208571" "0.229314859078221" "0.10539116830984" "1" "0.125903009559516" "0.203942330955139" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0"
"FW23" "-0.148650567433293" "0.0895625489770288" "0.0926282786271574" "0.565930119877732" "-0.105823347287096" "-0.180311543623382" "-0.129940097140828" "-0.188403907070907" "0.0195509692718474" "-0.0915951356476723" "-0.0121131368166213" "-0.109292588030609" "0.115207880523481" "0.176571235485475" "0.149904128723332" "0.111692655581082" "-0.0554299350896546" "0.220960652418735" "0.0325732706781829" "0.0713518703261381" "0.0743390359096615" "-0.00745992677718824" "-0.0502340913760362" "0.11047975793713" "0.00371980005950681" "0.406058614083085" "0.175594197503866" "0.44434235377109" "0.125903009559516" "1" "0.202384417044906" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0"
"FW26" "0.00336039494772734" "0.0899882383711769" "0.150251613316259" "0.553026051848176" "-0.00412781287195484" "-0.107860996666037" "0.0443600153807887" "-0.021076664100437" "0.0756797604476136" "-0.0225889765984754" "0.0301933460816092" "-0.0439367162860824" "0.037469713881376" "0.0721827988582176" "0.106515707619592" "0.146704397691279" "-0.00545555733904984" "0.0553791939375012" "0.100808330392863" "0.0904403770744594" "0.135264932912542" "0.025999820004341" "0.0932216833989443" "0.191452349882323" "0.200230745394138" "0.111177013225906" "0.303522053915134" "0.163732713392217" "0.203942330955139" "0.202384417044906" "1" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1"
