"NO","gender","age","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","FD","SD","UP","FW"
5.12,2,21,3,1,4,2,3,1,4,3,4,1,3,4,2,1,3,2,4,1,3,3,1,1,2,3,4,2,3,3.2,1.28571428571429,3.375,2.28571428571429
5.12,1,23,1,3,2,2,1,1,4,5,1,2,2,3,2,3,2,4,2,3,3,3,2,3,4,3,2,3,4,1.4,2.57142857142857,2.75,3.28571428571429
5.12,2,20,1,4,2,4,1,2,4,4,1,3,2,4,1,4,3,3,2,4,2,2,3,4,4,4,2,4,5,1.2,3.57142857142857,2.75,3.71428571428571
5.12,2,19,2,3,2,4,1,2,4,3,2,3,4,3,2,2,4,2,2,3,2,4,3,1,2,3,3,3,4,1.8,2.42857142857143,3.375,2.85714285714286
5.12,2,18,2,4,3,4,2,4,4,5,2,4,2,5,2,3,4,4,2,4,2,2,2,4,4,4,2,3,3,2,3.85714285714286,2.75,3.85714285714286
5.12,2,18,1,3,3,4,1,1,4,4,1,3,2,3,2,4,2,4,1,4,3,1,4,4,2,4,2,4,4,1.2,3.28571428571429,2.625,3.57142857142857
5.12,1,20,1,3,2,2,1,1,4,3,1,2,2,2,1,2,2,2,2,3,2,2,1,3,2,3,2,4,4,1.2,2.42857142857143,2.5,2.28571428571429
5.12,2,19,1,4,2,4,1,4,2,5,1,3,2,4,1,4,2,5,2,4,2,2,4,4,5,3,2,4,3,1.2,3.71428571428571,2.125,4.42857142857143
5.12,2,20,2,3,2,2,1,2,4,4,1,2,2,2,2,3,2,2,3,3,2,3,4,3,3,4,4,2,3,1.8,2.85714285714286,2.75,2.71428571428571
5.12,2,19,2,4,2,3,2,2,3,4,3,2,2,5,2,3,2,4,3,3,2,2,3,4,3,3,2,3,3,2.4,3,2.25,3.57142857142857
5.12,2,18,2,4,3,2,2,2,2,4,2,2,3,1,2,4,3,3,3,3,4,4,3,4,2,4,3,2,4,2.2,3.28571428571429,3.25,2.42857142857143
5.13,2,31,1,4,2,4,1,5,5,5,1,1,4,4,1,2,4,5,1,4,5,1,4,3,4,2,2,4,5,1,3,3.5,4.28571428571429
5.13,1,37,1,2,3,5,1,2,5,5,1,1,5,3,1,4,4,5,1,5,5,1,5,3,5,3,3,4,5,1,2.85714285714286,3.875,4.57142857142857
5.13,2,26,1,5,4,4,1,4,4,4,1,1,4,2,1,2,4,4,1,2,4,5,4,1,4,2,5,4,5,1,2.42857142857143,4.375,3.71428571428571
5.13,2,33,4,4,4,1,4,2,5,4,2,2,4,2,4,2,4,4,2,4,4,5,5,4,5,4,2,2,2,3.2,3.14285714285714,3.75,3.28571428571429
5.13,2,31,2,3,3,3,3,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,4,4,2,4,3,2,3,2.8,3.14285714285714,3,2.42857142857143
5.13,1,30,1,2,1,4,1,1,3,5,1,1,3,4,1,3,4,4,1,4,2,2,4,2,4,1,1,4,3,1,2,2.375,4.14285714285714
5.13,2,27,2,3,4,4,2,4,4,4,4,1,4,4,2,3,4,4,4,4,4,4,5,2,4,2,4,4,4,2.8,2.71428571428571,4,4.14285714285714
5.13,1,33,3,4,5,4,2,1,4,4,3,2,5,4,4,4,5,2,4,4,5,4,2,4,2,5,3,4,2,3.2,3.42857142857143,4.125,3.14285714285714
5.13,1,36,2,2,2,3,2,1,3,4,2,1,3,3,2,3,3,5,3,4,3,2,4,1,3,3,2,4,4,2.2,2.14285714285714,2.75,3.71428571428571
5.13,1,27,1,4,4,4,1,4,4,5,1,4,4,5,1,4,5,5,1,5,4,5,2,3,5,3,4,5,5,1,3.85714285714286,4.375,4.42857142857143
5.13,2,35,2,3,2,4,2,2,4,4,2,2,3,4,2,3,3,4,2,3,3,2,4,3,4,3,2,4,4,2,2.71428571428571,2.875,4
5.13,1,36,3,4,4,4,4,3,4,4,3,3,4,4,4,4,4,2,3,3,3,4,3,4,3,4,4,4,4,3.4,3.57142857142857,3.875,3.42857142857143
5.13,1,35,5,5,2,5,4,3,2,5,5,5,2,2,5,2,2,5,5,5,1,2,1,3,5,2,2,2,2,4.8,3.57142857142857,1.875,3.57142857142857
5.13,2,29,4,2,4,2,2,4,2,4,2,2,2,4,1,4,2,3,4,2,2,3,4,4,3,4,2,5,2,2.6,3.14285714285714,2.375,3.57142857142857
